Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,0.0398,0.8770,0.4583,0.8164,0.9433,0.8164,0.8553
2,1.00e-03,0.0288,0.9057,0.3348,0.8741,0.9489,0.8741,0.8970
3,1.00e-03,0.0265,0.9123,0.2920,0.8853,0.9503,0.8853,0.9051
4,1.00e-03,0.0243,0.9199,0.3413,0.8731,0.9494,0.8731,0.8963
5,1.00e-03,0.0228,0.9263,0.2750,0.9002,0.9536,0.9002,0.9163
6,1.00e-03,0.0215,0.9301,0.2883,0.8944,0.9530,0.8944,0.9120
7,1.00e-03,0.0208,0.9322,0.2286,0.9148,0.9568,0.9148,0.9272
8,1.00e-03,0.0200,0.9357,0.2559,0.9145,0.9569,0.9145,0.9271
9,1.00e-03,0.0194,0.9372,0.2354,0.9132,0.9567,0.9132,0.9261
10,1.00e-03,0.0188,0.9388,0.2703,0.9090,0.9560,0.9090,0.9230
11,1.00e-03,0.0187,0.9401,0.2537,0.9088,0.9563,0.9088,0.9229
12,5.00e-04,0.0173,0.9445,0.2396,0.9207,0.9585,0.9207,0.9318
13,5.00e-04,0.0169,0.9454,0.1918,0.9300,0.9602,0.9300,0.9389
14,5.00e-04,0.0165,0.9477,0.2267,0.9252,0.9595,0.9252,0.9353
15,5.00e-04,0.0163,0.9479,0.2325,0.9218,0.9585,0.9218,0.9326
16,5.00e-04,0.0161,0.9495,0.1928,0.9347,0.9618,0.9347,0.9426
17,5.00e-04,0.0160,0.9495,0.2213,0.9241,0.9595,0.9241,0.9344
18,5.00e-04,0.0158,0.9498,0.1942,0.9326,0.9612,0.9326,0.9410
19,5.00e-04,0.0156,0.9505,0.2408,0.9214,0.9587,0.9214,0.9324
20,5.00e-04,0.0155,0.9502,0.2103,0.9308,0.9607,0.9308,0.9395
21,2.50e-04,0.0147,0.9539,0.1999,0.9350,0.9619,0.9350,0.9429
22,2.50e-04,0.0149,0.9532,0.2265,0.9265,0.9601,0.9265,0.9363
23,2.50e-04,0.0148,0.9537,0.1987,0.9355,0.9618,0.9355,0.9432
24,2.50e-04,0.0145,0.9543,0.2066,0.9325,0.9611,0.9325,0.9409
25,2.50e-04,0.0143,0.9549,0.2026,0.9350,0.9617,0.9350,0.9428
26,2.50e-04,0.0144,0.9548,0.1946,0.9345,0.9618,0.9345,0.9424
27,2.50e-04,0.0142,0.9550,0.2087,0.9344,0.9617,0.9344,0.9424
28,1.25e-04,0.0138,0.9567,0.1843,0.9429,0.9639,0.9429,0.9490
29,1.25e-04,0.0136,0.9572,0.2010,0.9384,0.9625,0.9384,0.9454
30,1.25e-04,0.0137,0.9572,0.1948,0.9388,0.9627,0.9388,0.9458
