Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.2171,0.8973,0.0309,0.9943
2,0.0659,0.9784,0.0312,0.9968
3,0.0583,0.9808,0.0275,0.9959
4,0.0499,0.9835,0.0172,0.9961
5,0.0426,0.9853,0.0097,0.9966
