Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6170,0.5563,0.6825,0.4800,0.6102,0.4800,0.4345,0.1230,0.2295,0.8695
2,0.6027,0.5656,0.6925,0.4865,0.6093,0.4865,0.4474,0.1264,0.2488,0.8562
3,0.6001,0.5671,0.7142,0.4663,0.6116,0.4663,0.4068,0.1144,0.1911,0.8943
4,0.5965,0.5745,0.7549,0.4071,0.5786,0.4071,0.2718,0.0368,0.0456,0.9691
5,0.5961,0.5735,0.6787,0.5431,0.6134,0.5431,0.5378,0.1642,0.4099,0.7503
6,0.5945,0.5755,0.6895,0.5296,0.6143,0.5296,0.5177,0.1584,0.3663,0.7834
7,0.5935,0.5771,0.9121,0.3915,0.5879,0.3915,0.2204,0.0028,0.0002,0.9999
8,0.5922,0.5777,0.7020,0.4694,0.6142,0.4694,0.4121,0.1192,0.1972,0.8928
9,0.5903,0.5808,0.6889,0.4964,0.6167,0.4964,0.4620,0.1411,0.2674,0.8524
10,0.5870,0.5825,0.6778,0.5149,0.6179,0.5149,0.4931,0.1544,0.3177,0.8216
11,0.5836,0.5859,0.6765,0.5222,0.6149,0.5222,0.5060,0.1549,0.3434,0.8002
12,0.5792,0.5913,0.7318,0.4348,0.6055,0.4348,0.3390,0.0826,0.1116,0.9374
13,0.5765,0.5952,0.7892,0.4564,0.6159,0.4564,0.3842,0.1103,0.1616,0.9148
14,0.5684,0.6030,0.7144,0.5163,0.6115,0.5163,0.4981,0.1473,0.3314,0.8039
15,0.5637,0.6097,0.7038,0.5115,0.6035,0.5115,0.4937,0.1344,0.3299,0.7940
16,0.5561,0.6181,0.7090,0.5140,0.6046,0.5140,0.4973,0.1373,0.3355,0.7915
17,0.5504,0.6245,0.7126,0.4932,0.5844,0.4932,0.4717,0.1004,0.3042,0.7869
