epoch,train_pres_loss,train_type_loss,val_pres_acc,val_pres_f1,val_type_acc,val_type_f1
0,0.6929361081396538,1.0081440881643666,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
1,0.68634532918261,0.9571295660478387,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
2,0.6863380820412801,0.9565847392353338,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
3,0.6863310609221033,0.9569677235616012,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
4,0.6863380430930499,0.9568477956917,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
5,0.6863336961806213,0.9569266627265522,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
6,0.6863450049039622,0.9567760357262959,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
7,0.6863437796615804,0.9562331805318359,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
8,0.6863381067052711,0.9565753226357013,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
9,0.6863343198741917,0.9567485636227222,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
10,0.6863345654187828,0.9566267146160636,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
11,0.686332794901178,0.9567832963078258,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
12,0.6863353993812518,0.9564494590941744,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
13,0.6863351101399034,0.9566186444461184,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
14,0.6863340564179248,0.9564209715983195,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
15,0.6863378088366804,0.9566809482902285,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
16,0.686334888028681,0.9567522439373183,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
17,0.6863258515496007,0.9565518420202103,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
18,0.6863405687488642,0.9567136233619143,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
19,0.6863310810501879,0.9564322728992681,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
20,0.6863384513439532,0.9565074313925274,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
21,0.6863320562185152,0.9564704058840653,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
22,0.6863284201805507,0.956360438658397,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
23,0.686338280590273,0.9559812293917588,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
24,0.6863341079945307,0.9566578865824436,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
25,0.6863379126664123,0.9564754731551259,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
