epoch,beta,train_recon,train_kl,train_interv,train_total,val_recon,val_kl,val_interv,val_total,val_ref_elbo
0,0.0,0.36366809440314013,0.0,0.05015874256651861,0.41382683642112694,0.24029976013827833,0.0,0.0574261031731562,0.29772586339815327,173.84329844006695
1,0.02,0.3365175074128134,0.19385905947116847,0.03669678385688146,0.5670733513658828,0.2587790223456874,0.1365855391537524,0.08426338786361631,0.47962794842885126,7.1723195265849595
2,0.04,0.3593109090630913,0.17213066590693468,0.036073685304554674,0.5675152602086934,0.2842477183796602,0.17033729593738034,0.06626081239337435,0.520845826055149,4.608941009840994
3,0.06,0.38079002935963474,0.20383377019342144,0.037108752441350694,0.6217325518965863,0.2996362374370914,0.20983223505545778,0.06659584718399782,0.5760643193744837,3.8634360726399235
4,0.08,0.39991978136374395,0.23577169625355873,0.038785814985185615,0.6744772919747872,0.31270387469053024,0.2464946325557295,0.09932261987403415,0.658521128298673,3.493209471284979
5,0.1,0.41946021282854656,0.26374410162767975,0.040756684662199116,0.723960999258018,0.3160708357946086,0.2733776233635099,0.0732767746409385,0.6627252335734134,3.123123806144458
6,0.12,0.43917745275408226,0.28660276153158004,0.042987238235560256,0.768767452554547,0.333297738968537,0.3081038863741453,0.06880344314551191,0.7102050680037428,2.9696336279333
7,0.14,0.4590954477624325,0.30581271266168913,0.04511470425053359,0.8100228641011773,0.34416027863314586,0.32169696039950774,0.08732350140583821,0.753180740336658,2.729319203045606
8,0.16,0.4753935325818667,0.32250721520110054,0.04740836842090731,0.8453091161823716,0.3509003427069323,0.3175532185527555,0.08763360514285616,0.7560871669571172,2.423241612017762
9,0.18,0.4895322196378158,0.34082182127036853,0.05069285833163603,0.8810468993471083,0.35872414541220227,0.35471330149110614,0.09994698611402016,0.8133844339616916,2.429300502883441
10,0.2,0.5050564424094605,0.35756267523577345,0.05418802485775597,0.916807142163375,0.37246453498780363,0.3680375518690787,0.0880071631343011,0.8285092508720041,2.3006594219300025
11,0.22,0.520918377105566,0.371350046678712,0.058252028929536154,0.9505204528270443,0.3796466128509909,0.40085924392501593,0.08796597818290158,0.868471834300249,2.289700073040187
