Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.0268,0.9907,0.0352,0.9941
2,0.0106,0.9972,0.0082,0.9985
3,0.0055,0.9986,0.0229,0.9965
4,0.0054,0.9989,0.0083,0.9986
5,0.0044,0.9991,0.0093,0.9987
6,0.0085,0.9987,0.0074,0.9989
7,0.0017,0.9996,0.0115,0.9987
8,0.0066,0.9989,0.0186,0.9981
9,0.0025,0.9995,0.0083,0.9990
10,0.0071,0.9992,0.0133,0.9986
