Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.5951,0.7002,0.5028,0.7502,0.7794,0.7502,0.7525,0.5231,0.8482,0.6847
2,0.4788,0.7821,0.4868,0.7627,0.7881,0.7627,0.7650,0.5436,0.8498,0.7045
3,0.4631,0.7912,0.4896,0.7630,0.7902,0.7630,0.7652,0.5465,0.8567,0.7003
4,0.4537,0.7958,0.4813,0.7658,0.7860,0.7658,0.7681,0.5431,0.8338,0.7203
5,0.4484,0.7980,0.4712,0.7723,0.7863,0.7723,0.7745,0.5480,0.8148,0.7439
6,0.4435,0.8007,0.4845,0.7720,0.7892,0.7720,0.7742,0.5517,0.8291,0.7337
7,0.4425,0.8007,0.4744,0.7778,0.7910,0.7778,0.7799,0.5581,0.8176,0.7512
8,0.4391,0.8024,0.4862,0.7738,0.7910,0.7738,0.7761,0.5554,0.8310,0.7356
9,0.4371,0.8035,0.4746,0.7779,0.7906,0.7779,0.7799,0.5577,0.8158,0.7525
10,0.4344,0.8042,0.4798,0.7736,0.7899,0.7736,0.7758,0.5538,0.8271,0.7378
11,0.4311,0.8061,0.4953,0.7726,0.7907,0.7726,0.7748,0.5541,0.8335,0.7319
12,0.4263,0.8081,0.4776,0.7777,0.7904,0.7777,0.7798,0.5572,0.8154,0.7524
13,0.4239,0.8090,0.4774,0.7791,0.7890,0.7791,0.7810,0.5562,0.8024,0.7636
14,0.4232,0.8091,0.4842,0.7784,0.7898,0.7784,0.7804,0.5569,0.8096,0.7576
15,0.4224,0.8093,0.4813,0.7769,0.7883,0.7769,0.7789,0.5538,0.8078,0.7562
16,0.4198,0.8102,0.4891,0.7725,0.7871,0.7725,0.7747,0.5492,0.8175,0.7425
17,0.4187,0.8108,0.4814,0.7767,0.7887,0.7767,0.7788,0.5542,0.8106,0.7541
18,0.4167,0.8118,0.4847,0.7754,0.7879,0.7754,0.7775,0.5523,0.8114,0.7514
19,0.4172,0.8115,0.4743,0.7782,0.7878,0.7782,0.7801,0.5538,0.7994,0.7641
20,0.4145,0.8126,0.4839,0.7744,0.7874,0.7744,0.7765,0.5508,0.8124,0.7489
21,0.4148,0.8124,0.4845,0.7755,0.7881,0.7755,0.7776,0.5526,0.8119,0.7511
22,0.4156,0.8110,0.4831,0.7779,0.7898,0.7779,0.7799,0.5565,0.8117,0.7553
