Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
50,0.1338,0.8165,2.1985,0.4876,0.5902,0.4876,0.5139,0.2643,0.2706,0.6315,0.4193,0.5696
51,0.1327,0.8166,2.1871,0.4900,0.5906,0.4900,0.5160,0.2665,0.2741,0.6306,0.4229,0.5711
52,0.1318,0.8176,2.1955,0.4899,0.5907,0.4899,0.5162,0.2668,0.2732,0.6315,0.4241,0.5697
53,0.1314,0.8177,2.1959,0.4908,0.5916,0.4908,0.5160,0.2672,0.2653,0.6360,0.4186,0.5780
54,0.1317,0.8176,2.2154,0.4879,0.5925,0.4879,0.5140,0.2652,0.2732,0.6288,0.4132,0.5765
55,0.1316,0.8177,2.2016,0.4883,0.5901,0.4883,0.5139,0.2647,0.2653,0.6414,0.4187,0.5711
56,0.1315,0.8187,2.2023,0.4887,0.5903,0.4887,0.5144,0.2653,0.2741,0.6351,0.4176,0.5728
57,0.1311,0.8184,2.2159,0.4894,0.5923,0.4894,0.5154,0.2667,0.2697,0.6351,0.4190,0.5736
58,0.1302,0.8193,2.2162,0.4872,0.5906,0.4872,0.5136,0.2642,0.2697,0.6324,0.4178,0.5701
59,0.1320,0.8174,2.2077,0.4885,0.5898,0.4885,0.5140,0.2644,0.2697,0.6324,0.4167,0.5744
60,0.1317,0.8179,2.2078,0.4891,0.5910,0.4891,0.5150,0.2657,0.2715,0.6306,0.4186,0.5737
61,0.1309,0.8190,2.2045,0.4906,0.5884,0.4906,0.5158,0.2653,0.2680,0.6315,0.4243,0.5719
62,0.1309,0.8186,2.2103,0.4899,0.5895,0.4899,0.5154,0.2655,0.2697,0.6315,0.4212,0.5733
63,0.1298,0.8192,2.2134,0.4886,0.5892,0.4886,0.5140,0.2644,0.2688,0.6342,0.4178,0.5733
64,0.1311,0.8182,2.2140,0.4894,0.5884,0.4894,0.5153,0.2650,0.2697,0.6342,0.4253,0.5674
65,0.1301,0.8193,2.2113,0.4907,0.5894,0.4907,0.5162,0.2663,0.2697,0.6342,0.4241,0.5717
66,0.1303,0.8191,2.2110,0.4908,0.5897,0.4908,0.5161,0.2662,0.2671,0.6333,0.4230,0.5736
67,0.1310,0.8181,2.2094,0.4916,0.5896,0.4916,0.5169,0.2667,0.2697,0.6279,0.4238,0.5750
68,0.1300,0.8195,2.2151,0.4899,0.5905,0.4899,0.5151,0.2659,0.2680,0.6360,0.4186,0.5754
