Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6419,0.4996,0.7158,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
2,0.6405,0.5001,0.7214,0.3914,0.7618,0.3914,0.2203,0.0055,0.0001,1.0000
3,0.6400,0.5006,0.7205,0.3915,0.6401,0.3915,0.2204,0.0042,0.0002,0.9999
4,0.6397,0.5005,0.7199,0.3919,0.5896,0.3919,0.2219,0.0078,0.0014,0.9991
5,0.6385,0.5009,0.7168,0.3925,0.5699,0.3925,0.2242,0.0086,0.0034,0.9976
6,0.6322,0.5033,0.7221,0.3935,0.5461,0.3935,0.2291,0.0064,0.0077,0.9934
7,0.6143,0.5075,0.6680,0.3936,0.5290,0.3936,0.2309,0.0018,0.0094,0.9910
8,0.5927,0.5081,0.6349,0.3982,0.5336,0.3982,0.2513,0.0055,0.0280,0.9739
9,0.5681,0.5085,0.6197,0.3942,0.5260,0.3942,0.2345,0.0009,0.0126,0.9876
10,0.5546,0.5054,0.6021,0.3949,0.5510,0.3949,0.2346,0.0099,0.0124,0.9898
11,0.5449,0.5269,0.5966,0.3987,0.5173,0.3987,0.2594,-0.0041,0.0364,0.9620
12,0.5380,0.5810,0.5832,0.6313,0.7207,0.6313,0.6264,0.3583,0.4774,0.8706
13,0.5318,0.6353,0.5863,0.5656,0.7056,0.5656,0.5419,0.2886,0.3440,0.9101
14,0.5269,0.6656,0.5828,0.5396,0.7020,0.5396,0.5040,0.2622,0.2910,0.9262
15,0.5201,0.6791,0.5735,0.7189,0.7429,0.7189,0.7223,0.4491,0.6790,0.7810
16,0.5194,0.6839,0.5698,0.6591,0.7297,0.6591,0.6583,0.3900,0.5330,0.8551
17,0.5160,0.6904,0.5465,0.7369,0.7471,0.7369,0.7395,0.4657,0.7354,0.7393
18,0.5121,0.6955,0.5519,0.7109,0.7424,0.7109,0.7142,0.4432,0.6539,0.7997
19,0.5076,0.6991,0.5647,0.6445,0.7333,0.6445,0.6403,0.3832,0.4924,0.8812
