Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,1.0187,0.5107,1.0242,0.4951,0.4509,0.4951,0.3617,0.0414,0.0329,0.1102,0.9697,0.0282
2,0.9761,0.5239,0.9954,0.5401,0.5295,0.5401,0.4803,0.4375,0.1046,0.0646,0.8796,0.2611
3,0.9676,0.5270,1.0103,0.5080,0.5296,0.5080,0.3688,0.5134,0.0329,0.1011,0.9821,0.0098
4,0.9651,0.5293,0.9920,0.5630,0.5550,0.5630,0.5267,0.6728,0.0656,0.1469,0.8109,0.3973
