epoch,beta,train_recon,train_kl,train_interv,train_total,val_recon,val_kl,val_interv,val_total,val_raw_kl,val_ref_elbo
0,0.02,0.007334751002718139,0.0,0.11583891242574947,0.1231736634430211,0.003561452865484882,0.0,0.328568957370465,0.332130410689045,72.59965360140363,72.93178401163958
1,0.04,0.006876703418007319,0.0508072794255623,0.09868860045252355,0.15637258328702872,0.004048687383952663,0.06287430031433731,0.25228459558349153,0.319207583260087,3.1437150870588306,3.4000483700262745
2,0.06,0.005836963892060382,0.056200025319759817,0.09035058060284884,0.15238756973208176,0.003971704807158089,0.06875416288216828,0.24357014466001217,0.31629601238170246,1.7188541069475065,1.966395956414677
3,0.08,0.0053411263604806036,0.06972928872915929,0.09031893935246305,0.16538935455455256,0.0036350089076018746,0.09783515566675459,0.14883917673109687,0.25030934116793624,1.630585963699337,1.7830601493380356
4,0.1,0.004995032393457043,0.08547258840933662,0.09311542065530722,0.1835830414191741,0.003460713897290205,0.11517071712557264,0.3114686266665182,0.4301000575775891,1.4396339957497999,1.7545633363136082
5,0.12,0.004676934991547955,0.10004221470072758,0.09559004584171633,0.20030919555020715,0.0033157318938962636,0.13459408950144064,0.1156137170281466,0.25352353821916396,1.345940864650635,1.464870313572678
6,0.14,0.004469357622346018,0.11268603990429142,0.10085576525844518,0.21801116283750538,0.002988272722594273,0.14703328616143244,0.1403807069188223,0.29040226580806516,1.2252774127662303,1.3686463924076469
7,0.16,0.004312659680411885,0.1255379104520471,0.10465741630233087,0.2345079864871119,0.0030908151628717953,0.15998748449377276,0.3470515020707596,0.5101298018834741,1.14276774025801,1.4929100574916414
8,0.18,0.004156077559020141,0.13673682281864494,0.10943149533567943,0.250324395589665,0.0029584428951307342,0.1733756683873062,0.17509379989776738,0.35142791136917173,1.0835979502579831,1.2616501930508812
9,0.2,0.0040476545269992935,0.14684870935484204,0.1148783694253756,0.2657747332506648,0.0028084072236032385,0.20487909414283856,0.17057901601896994,0.3782665179757868,1.1382171428343186,1.3116045660768918
10,0.22,0.003983265626012297,0.15642634643610587,0.12035661102440262,0.2807662231726583,0.0027447409113767595,0.21178621816962898,0.5204446165995054,0.7349755760820965,1.0589310745205995,1.5821204320314817
11,0.24,0.004365861517762639,0.16726052615563136,0.11434407892174768,0.2859704665548804,0.002651477942803719,0.2489575260904923,0.1550141211728093,0.4066231252432112,1.1316251250367058,1.2892907241523188
12,0.26,0.004276587129056387,0.17833177651877632,0.10936759920764404,0.2919759629990225,0.002324787505557135,0.2175371699611791,0.7878147660168514,1.007676722819475,0.9064048940805214,1.6965444476029299
13,0.28,0.00402692067524497,0.18805608541704816,0.11099903666502649,0.30308204272914424,0.002008905902442327,0.2607145672569207,0.27363388695566326,0.5363573609811468,1.0027483732358016,1.2783911660939071
14,0.3,0.00379619025348319,0.1953313496514528,0.11534078219891195,0.3144683219267637,0.0018473563966191471,0.29192515466430524,0.13603223339406026,0.4298047447793353,1.0425898344720697,1.180469424262749
15,0.32,0.0036433966410587748,0.20166719040220152,0.12187680804996641,0.32718739517188605,0.001865364128712834,0.26776888798884363,0.27585197397168204,0.5454862262833629,0.8925629220523562,1.170280260152751
16,0.34,0.003486576964527794,0.20818632488845296,0.1266712696538563,0.33834417139831535,0.0018470374626190973,0.30266951068537784,0.16203981134168,0.46655636001567974,0.945842243738609,1.1097290925429082
17,0.36,0.0032956902166802124,0.21211820631345904,0.13466626112510982,0.35008015769571177,0.0016628092436651962,0.31983402158966373,0.18171125386562767,0.503208084286109,0.9406882887914807,1.1240623519007735
18,0.38,0.003205129845838136,0.21641428270855118,0.14342252399385252,0.36304193659867545,0.001696961834140467,0.24454413899912852,1.063716182519365,1.3099572817413725,0.6792892468922492,1.7447023912457547
19,0.4,0.0030933218445949964,0.21726288727274248,0.15397808590374715,0.3743342950825719,0.0016069996609687312,0.28599535292223127,0.5433687987128489,0.8309711511958155,0.7526193586331764,1.2975951570069941
20,0.42,0.002939854567383837,0.21790168916288294,0.16292291202841158,0.3837644556486711,0.0014925738075812576,0.3134261177977938,0.20990190250598,0.5248205935669771,0.7835652792253465,0.9949597555389078
21,0.44,0.0027786296573220296,0.21685510484466067,0.1743167239974818,0.3939504584834758,0.0013754440280902835,0.34462276196710445,0.19981664682448275,0.5458148527291059,0.8205304100517707,1.0217225009043438
22,0.46,0.0026646685806109398,0.21609932651220173,0.18581589931007578,0.40457989443208353,0.0014223439200525695,0.2857939743658797,0.8669394010074756,1.154155718545807,0.6495317630431864,1.5178935079707145
23,0.48,0.0025074786297833752,0.2101292501153257,0.20092104110720546,0.41355776995649285,0.001350594624436447,0.3064311642935708,0.30495829960661364,0.6127400590361014,0.6661546919494867,0.9724635861805369
24,0.5,0.0024031783037205506,0.19781993963472957,0.22073899352838636,0.42096211146867457,0.0012652202579998952,0.31907729655049,0.301208585341387,0.6215511012647885,0.6647443832362985,0.9672181888356854
25,0.5,0.002230362832918179,0.18593962283163853,0.24037512247338352,0.42854510802210405,0.0011241553190530348,0.24023378339203458,0.6612148570188923,0.9025727964467284,0.48046756682769526,1.1428065791656405
26,0.52,0.0021145897942250833,0.18559378532508883,0.24010679309411578,0.42781516840306566,0.0011130631637848182,0.2749591743888413,0.47572709723184164,0.7517993348193509,0.5499183489218384,1.026758509317465
27,0.52,0.0019754214234884,0.16382195509674485,0.26917669976661307,0.4349740762104405,0.0010017925119307272,0.2544562311922703,0.5397263971402058,0.7951844211083565,0.48933892514055893,1.0300671147926954
28,0.52,0.001832745696430174,0.15865519198953518,0.2739382203516476,0.43442615791567085,0.0009852270861279576,0.23698114853375069,0.6246306182714199,0.8625969937765429,0.45573299407367185,1.0813488394312196
