epoch,train_pres_loss,train_type_loss,val_pres_acc,val_pres_f1,val_type_acc,val_type_f1
0,0.6893613562366406,0.9855028657304469,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
1,0.686317864417669,0.9569917173723751,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
2,0.6863255726944472,0.9569948648275034,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
3,0.6863220130839279,0.9568071729581996,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
4,0.6863263978943698,0.9568050897787641,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
5,0.6863275181601568,0.9566812029066324,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
6,0.6863156038482129,0.9570640306345979,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
7,0.686321557141577,0.9564749151613245,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
8,0.6863258984421101,0.9566067548819251,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
9,0.686319424936983,0.9569763997453906,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
10,0.6863254026623884,0.9570905520727591,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
11,0.6863219142153435,0.9567707913036076,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
12,0.6863237582996798,0.9566641353669134,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
13,0.6863294183376762,0.956828968536015,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
14,0.6863288479989934,0.9575237910588513,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
15,0.686317652937477,0.9568676180084928,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
16,0.686322847445866,0.9572546990313874,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
17,0.6863277564369888,0.9567168717989469,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
18,0.6863263651894539,0.956937645947066,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
19,0.6863226991977553,0.9575194983066913,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
20,0.6863266050126176,0.9567539347093075,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
21,0.6863305586284592,0.9569708677372176,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
22,0.6863348728230857,0.9568441437716201,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
23,0.6863298004813457,0.9567100105382548,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
24,0.6863342740447853,0.9573255964207426,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
25,0.6863298380636497,0.9567136910783576,0.540505623670078,0.3792862872164983,0.2574216911839925,0.1053996881978878
