epoch,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc,ped_f1,light_f1,medium_f1,heavy_f1
0,0.9438,0.4377,0.5224,0.8378,0.5312,0.6285,0.533,0.4113,0.7655,0.415
1,0.7677,0.5291,0.61,0.8338,0.5595,0.6318,0.5601,0.4586,0.751,0.4681
2,0.7214,0.5533,0.6306,0.7991,0.5702,0.6511,0.5662,0.4501,0.7758,0.4888
3,0.6921,0.5679,0.6431,0.8295,0.5672,0.614,0.5825,0.4708,0.712,0.5036
4,0.6655,0.5811,0.6532,0.8368,0.5701,0.6206,0.5766,0.4739,0.7185,0.5116
