Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7168,0.6293,0.6548,0.6717,0.7731,0.6717,0.5869,0.7969,0.0000,0.0000,0.9983,0.1426
2,0.6325,0.6765,0.5781,0.7005,0.7763,0.7005,0.6379,0.8720,0.0000,0.0000,0.9925,0.2220
3,0.6258,0.6848,0.5250,0.7606,0.7575,0.7606,0.7500,0.8398,0.0000,0.0000,0.8921,0.5509
