Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
50,0.0703,0.8767,2.9943,0.5410,0.5746,0.5410,0.5505,0.2856,0.1349,0.5162,0.5154,0.6350
51,0.0695,0.8777,2.9622,0.5405,0.5708,0.5405,0.5502,0.2844,0.1278,0.5297,0.5310,0.6169
52,0.0633,0.8843,3.0972,0.5452,0.5736,0.5452,0.5511,0.2868,0.1208,0.5108,0.5078,0.6555
53,0.0622,0.8853,3.1265,0.5460,0.5724,0.5460,0.5525,0.2850,0.1243,0.4775,0.5164,0.6532
54,0.0616,0.8854,3.1198,0.5472,0.5717,0.5472,0.5552,0.2888,0.1287,0.5117,0.5440,0.6217
55,0.0608,0.8869,3.1660,0.5462,0.5680,0.5462,0.5540,0.2845,0.1278,0.4856,0.5539,0.6135
56,0.0611,0.8871,3.2084,0.5461,0.5645,0.5461,0.5495,0.2799,0.1025,0.4901,0.5250,0.6460
57,0.0604,0.8885,3.1625,0.5452,0.5638,0.5452,0.5465,0.2777,0.0937,0.4910,0.5072,0.6634
58,0.0601,0.8886,3.2771,0.5469,0.5704,0.5469,0.5521,0.2840,0.1226,0.4757,0.5164,0.6560
59,0.0577,0.8906,3.2834,0.5510,0.5694,0.5510,0.5539,0.2878,0.1051,0.4928,0.5241,0.6577
60,0.0566,0.8919,3.3363,0.5494,0.5694,0.5494,0.5538,0.2866,0.1051,0.4901,0.5296,0.6488
61,0.0562,0.8925,3.3573,0.5518,0.5677,0.5518,0.5563,0.2887,0.1103,0.4991,0.5521,0.6291
62,0.0557,0.8940,3.3577,0.5505,0.5651,0.5505,0.5535,0.2844,0.1068,0.4838,0.5409,0.6405
63,0.0551,0.8941,3.3582,0.5523,0.5661,0.5523,0.5564,0.2870,0.1112,0.4811,0.5567,0.6281
64,0.0549,0.8944,3.3595,0.5521,0.5669,0.5521,0.5544,0.2869,0.1025,0.4892,0.5328,0.6524
65,0.0542,0.8956,3.3852,0.5579,0.5718,0.5579,0.5615,0.2947,0.1130,0.4766,0.5535,0.6449
66,0.0541,0.8954,3.4170,0.5541,0.5669,0.5541,0.5562,0.2883,0.1025,0.4829,0.5426,0.6480
67,0.0536,0.8960,3.4333,0.5545,0.5656,0.5545,0.5564,0.2878,0.0954,0.4856,0.5488,0.6433
68,0.0537,0.8963,3.4786,0.5575,0.5673,0.5575,0.5595,0.2919,0.0981,0.4829,0.5625,0.6362
69,0.0540,0.8959,3.4644,0.5545,0.5676,0.5545,0.5568,0.2883,0.1042,0.4712,0.5427,0.6502
70,0.0531,0.8971,3.4735,0.5563,0.5666,0.5563,0.5586,0.2904,0.0998,0.4856,0.5616,0.6337
71,0.0530,0.8973,3.4822,0.5552,0.5657,0.5552,0.5564,0.2881,0.0972,0.4811,0.5467,0.6473
72,0.0526,0.8982,3.4841,0.5535,0.5644,0.5535,0.5553,0.2854,0.0981,0.4739,0.5481,0.6430
73,0.0523,0.8973,3.4878,0.5559,0.5654,0.5559,0.5577,0.2890,0.0963,0.4829,0.5589,0.6364
74,0.0528,0.8977,3.4967,0.5582,0.5677,0.5582,0.5590,0.2919,0.0954,0.4739,0.5502,0.6522
75,0.0526,0.8981,3.4948,0.5571,0.5686,0.5571,0.5589,0.2914,0.1025,0.4721,0.5488,0.6502
76,0.0526,0.8978,3.4965,0.5565,0.5681,0.5565,0.5576,0.2907,0.0998,0.4784,0.5412,0.6560
77,0.0523,0.8970,3.5036,0.5578,0.5659,0.5578,0.5590,0.2904,0.0998,0.4748,0.5612,0.6391
78,0.0520,0.8987,3.5078,0.5577,0.5667,0.5577,0.5587,0.2906,0.0972,0.4739,0.5543,0.6466
79,0.0522,0.8980,3.5110,0.5581,0.5672,0.5581,0.5591,0.2913,0.0963,0.4739,0.5542,0.6478
80,0.0521,0.8989,3.5203,0.5568,0.5663,0.5568,0.5580,0.2894,0.0981,0.4748,0.5516,0.6470
