Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.4457,0.9553,0.0604,0.9852
2,0.1079,0.9746,0.3378,0.9320
3,0.1304,0.9591,0.0351,0.9911
4,0.0678,0.9758,0.0338,0.9893
5,0.0865,0.9698,0.0614,0.9840
6,0.1650,0.9256,0.0444,0.9743
7,0.1665,0.9525,0.0972,0.9430
8,0.2054,0.9470,0.0763,0.9480
9,0.1639,0.9480,0.0704,0.9543
10,0.1764,0.9429,0.0842,0.9584
