Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4469,0.7961,0.4816,0.7719,0.7875,0.7719,0.7741,0.8216,0.7387
2,0.4207,0.8078,0.4765,0.7815,0.7929,0.7815,0.7835,0.8131,0.7604
3,0.4101,0.8121,0.4936,0.7722,0.7925,0.7722,0.7745,0.8416,0.7259
4,0.4017,0.8152,0.4890,0.7839,0.7947,0.7839,0.7858,0.8130,0.7644
5,0.3949,0.8178,0.4856,0.7779,0.7878,0.7779,0.7798,0.8009,0.7625
6,0.3893,0.8206,0.5081,0.7764,0.7888,0.7764,0.7785,0.8118,0.7528
7,0.3849,0.8221,0.5091,0.7742,0.7885,0.7742,0.7764,0.8183,0.7448
8,0.3817,0.8236,0.5138,0.7758,0.7887,0.7758,0.7779,0.8137,0.7505
9,0.3664,0.8301,0.5342,0.7691,0.7831,0.7691,0.7713,0.8103,0.7416
10,0.3573,0.8353,0.5444,0.7696,0.7805,0.7696,0.7716,0.7956,0.7522
11,0.3510,0.8385,0.5538,0.7638,0.7760,0.7638,0.7660,0.7949,0.7430
12,0.3451,0.8416,0.5672,0.7611,0.7741,0.7611,0.7634,0.7953,0.7383
