Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7194,0.6451,0.6514,0.6823,0.6975,0.6823,0.6778,0.9387,0.4158,0.3370,0.6915,0.7919
2,0.6079,0.7059,0.6218,0.6945,0.7054,0.6945,0.6767,0.9908,0.4324,0.2503,0.8682,0.5826
3,0.5571,0.7355,0.6018,0.7157,0.7144,0.7157,0.7113,0.9893,0.4368,0.5006,0.8047,0.6730
4,0.5038,0.7686,0.6264,0.7167,0.7170,0.7167,0.7085,0.9931,0.4742,0.3453,0.8171,0.6916
5,0.4404,0.8045,0.7082,0.7105,0.7068,0.7105,0.7078,0.9747,0.4800,0.4768,0.7849,0.6857
