epoch,train_det_loss,train_cls_loss,val_det_acc,val_det_f1,val_cls_acc,val_cls_f1
0,0.25357863827860466,0.8507456954851701,0.7739613702623906,0.7615427737840116,0.2783711984946177,0.21754750865458267
1,0.23400224598526592,0.8116652964458639,0.7731300109329446,0.7634716420506981,0.31773528516478955,0.2911218310957826
2,0.22894960562599467,0.7980818045719054,0.7776512390670554,0.7669449279682765,0.2803221075352132,0.2237814294436097
3,0.22690198655186453,0.7891327268809171,0.7645772594752187,0.7446295761596147,0.2790768464454714,0.2249781717877623
4,0.22510955966442914,0.782117723404093,0.7754077077259475,0.7591531311992293,0.2931898054625453,0.2500741953681643
5,0.22406518092679034,0.7765504766017832,0.7772298651603499,0.7624712981985393,0.29617843207792566,0.2576316887898973
6,0.22055128373001848,0.7673802392098679,0.7613770954810496,0.7397919201743811,0.2917923457951684,0.24308910755043395
7,0.21936843753268653,0.7644182839835668,0.769542638483965,0.7519880886958934,0.27202036693693443,0.21132410986796726
8,0.2182819389599435,0.7615736248464208,0.7752368804664723,0.7573806234431528,0.28029443506655227,0.22811586009410775
9,0.21846660054699266,0.7588347270133647,0.7502277696793003,0.7232965117001763,0.29515455073747127,0.25154149644279006
