Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,2.3792,0.2220,2.3749,0.2018,0.1177,0.2018,0.1166
2,1.00e-03,2.3260,0.2352,2.3565,0.2043,0.1409,0.2043,0.1390
3,1.00e-03,2.3179,0.2385,2.3657,0.2008,0.1254,0.2008,0.1148
4,1.00e-03,2.3185,0.2361,2.3351,0.2101,0.1719,0.2101,0.1385
5,1.00e-03,2.3155,0.2377,2.3551,0.2115,0.1501,0.2115,0.1530
6,1.00e-03,2.3150,0.2378,2.3795,0.1768,0.3239,0.1768,0.0642
7,1.00e-03,2.3143,0.2387,2.3042,0.2036,0.1877,0.2036,0.1448
8,1.00e-03,2.3159,0.2374,2.3526,0.2067,0.1637,0.2067,0.1349
9,1.00e-03,2.3153,0.2383,2.3497,0.2031,0.1225,0.2031,0.1280
10,5.00e-04,2.3009,0.2415,2.3396,0.2058,0.1693,0.2058,0.1368
11,5.00e-04,2.2997,0.2415,2.3448,0.1972,0.1663,0.1972,0.1164
12,5.00e-04,2.2981,0.2428,2.3450,0.2097,0.1571,0.2097,0.1453
13,5.00e-04,2.2992,0.2428,2.3612,0.2024,0.1203,0.2024,0.1205
