Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.1349,0.9592,0.0697,0.9756
2,0.1054,0.9696,0.0641,0.9776
3,0.1067,0.9686,0.0186,0.9946
4,0.1057,0.9683,0.0477,0.9843
5,0.1043,0.9693,0.0356,0.9889
6,0.1046,0.9690,0.0294,0.9915
7,0.1053,0.9686,0.0567,0.9810
8,0.1053,0.9688,0.0689,0.9755
9,0.1034,0.9698,0.2167,0.9149
10,0.1052,0.9690,0.0806,0.9709
