epoch,train_loss,train_pres_loss,train_type_loss,val_loss,val_pres_loss,val_type_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.1666907151118513,0.33596953536218294,0.8307211797496684,1.0638874085656163,0.3413184844886167,0.7225689240769997,0.5628,0.5543,0.4589,0.6681
1,1.0872253903659648,0.32312610737524866,0.7640992829907162,1.0655955264442845,0.33880951265879283,0.7267860137854917,0.8738,0.8116,0.4907,0.7093
2,1.0830347683448691,0.3212559545704161,0.7617788137744529,1.0694844676517055,0.33749085318018524,0.7319936144715201,0.8688,0.8089,0.5033,0.7162
3,1.0814335871122245,0.3212777094752466,0.7601558776369778,1.0693704916829878,0.33732108330132227,0.7320494083816655,0.8657,0.8062,0.4977,0.713
4,1.0823060296258495,0.3212149541637309,0.7610910754621187,1.0683017846950205,0.33691640838031295,0.7313853763147075,0.863,0.804,0.4986,0.7162
5,1.0811086599011004,0.32137549524281955,0.7597331646582809,1.0682888929203276,0.3372824925134717,0.7310064004068559,0.862,0.8031,0.4993,0.716
6,1.081709985707736,0.3211407041676165,0.7605692815401194,1.0681496617536466,0.33705348387319295,0.7310961778804536,0.8711,0.8104,0.4976,0.7187
7,1.0812311956673781,0.3212004643852578,0.7600307312821204,1.0683342466063777,0.33700686214373055,0.7313273844626471,0.866,0.8065,0.4954,0.7139
8,1.0822694611486137,0.32105048708321243,0.7612189740654012,1.0702053291975957,0.33697283631216457,0.7332324928854311,0.8568,0.7983,0.4969,0.7111
9,1.081525443403411,0.32139376936287717,0.7601316740405338,1.0668782580262075,0.3372809919954337,0.7295972660307739,0.8584,0.7997,0.4906,0.707
10,1.0816474530045486,0.3213784093882108,0.7602690436163378,1.069319748812435,0.33731446834152096,0.7320052804709142,0.8609,0.8021,0.4955,0.7117
11,1.0823181111869509,0.32127657619648337,0.7610415349904676,1.0712212221774369,0.33722866407061547,0.7339925581068213,0.8586,0.7999,0.4992,0.716
12,1.0813168593996083,0.32122509296123797,0.7600917664383704,1.0687653602325355,0.3370537586159323,0.7317116016166032,0.8598,0.801,0.4984,0.7116
13,1.0796522550304626,0.3213819913585875,0.758270263671875,1.0646461846095372,0.33722665633521254,0.7274195282743248,0.8601,0.8013,0.4942,0.7116
