Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6191,0.5202,0.6898,0.3937,0.5845,0.3937,0.2280,0.0153,0.0065,0.9959
2,0.5990,0.5399,0.7060,0.6055,0.4982,0.6055,0.4643,-0.0125,0.9900,0.0076
3,0.5923,0.5451,0.6959,0.6101,0.5901,0.6101,0.4735,0.0385,0.9909,0.0179
4,0.5820,0.5547,0.7880,0.6045,0.5252,0.6045,0.4718,0.0012,0.9806,0.0197
5,0.5727,0.5666,0.6940,0.6216,0.6689,0.6216,0.4999,0.1199,0.9891,0.0501
6,0.5631,0.5804,0.6867,0.3917,0.5277,0.3917,0.2216,0.0005,0.0012,0.9988
7,0.5583,0.5889,2.0574,0.6059,0.5031,0.6059,0.4643,-0.0098,0.9908,0.0073
8,0.5397,0.6215,6.7227,0.6061,0.4893,0.6061,0.4628,-0.0143,0.9926,0.0050
9,0.5411,0.6157,0.6910,0.3933,0.6020,0.3933,0.2262,0.0168,0.0049,0.9973
10,0.5254,0.6424,1.8653,0.6063,0.4906,0.6063,0.4628,-0.0134,0.9931,0.0048
11,0.5384,0.6123,7.2750,0.6064,0.4834,0.6064,0.4622,-0.0152,0.9938,0.0039
12,0.5302,0.6236,8.2377,0.6057,0.4961,0.6057,0.4638,-0.0129,0.9909,0.0067
13,0.5225,0.6359,0.6770,0.7388,0.7396,0.7388,0.7392,0.4533,0.7803,0.6742
14,0.5210,0.6337,0.6906,0.3921,0.5708,0.3921,0.2229,0.0071,0.0022,0.9984
15,0.5236,0.6303,2.3651,0.6053,0.5123,0.6053,0.4666,-0.0064,0.9875,0.0111
16,0.5114,0.6509,0.6900,0.6705,0.6956,0.6705,0.6141,0.2765,0.9502,0.2356
17,0.5004,0.6684,18.9606,0.6062,0.5056,0.6062,0.4643,-0.0083,0.9914,0.0070
18,0.4863,0.6887,42.1579,0.6057,0.4980,0.6057,0.4640,-0.0121,0.9908,0.0070
19,0.4701,0.7098,0.6834,0.6504,0.6609,0.6504,0.5866,0.2145,0.9411,0.1983
20,0.4838,0.6863,19.7979,0.6058,0.4930,0.6058,0.4635,-0.0139,0.9914,0.0061
21,0.4883,0.6845,1.6744,0.6050,0.5498,0.6050,0.4883,0.0263,0.9641,0.0465
22,0.4847,0.6915,5.1794,0.6017,0.5256,0.6017,0.4790,0.0019,0.9670,0.0337
23,0.4818,0.6920,37.7279,0.6046,0.5067,0.6046,0.4667,-0.0100,0.9859,0.0118
24,0.4859,0.6885,14.8258,0.6024,0.5054,0.6024,0.4696,-0.0133,0.9782,0.0180
25,0.4806,0.6910,0.7287,0.6219,0.6093,0.6219,0.5346,0.1155,0.9465,0.1171
26,0.4819,0.6987,20.2984,0.6029,0.5058,0.6029,0.4690,-0.0125,0.9799,0.0166
27,0.4825,0.6926,24.5935,0.6018,0.5050,0.6018,0.4703,-0.0141,0.9762,0.0195
28,0.4790,0.6923,26.0950,0.6046,0.5054,0.6046,0.4665,-0.0108,0.9860,0.0115
