Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.0771,0.9691,0.0243,0.9926
2,0.0276,0.9902,0.0105,0.9973
3,0.0241,0.9914,0.0150,0.9958
4,0.0206,0.9927,0.0118,0.9977
5,0.0198,0.9931,0.0098,0.9981
