Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.4711,0.7140,0.6936,0.5074,0.7487,0.5074,0.4413,0.2673,0.2021,0.9821
2,0.4187,0.7387,0.7066,0.4830,0.6910,0.4830,0.4124,0.1968,0.1798,0.9545
3,0.4058,0.7439,0.4824,0.7625,0.7932,0.7625,0.7652,0.5472,0.6993,0.8608
4,0.4012,0.7482,0.4580,0.7811,0.7954,0.7811,0.7835,0.5634,0.7561,0.8201
5,0.3985,0.7493,0.6013,0.5042,0.7265,0.5042,0.4407,0.2471,0.2055,0.9688
6,0.3958,0.7511,0.4701,0.7594,0.7926,0.7594,0.7621,0.5441,0.6913,0.8653
7,0.3925,0.7530,0.5610,0.7811,0.7833,0.7811,0.7819,0.5447,0.8052,0.7436
8,0.3907,0.7541,0.4410,0.7703,0.7977,0.7703,0.7730,0.5588,0.7129,0.8594
9,0.3848,0.7576,0.5076,0.7842,0.7939,0.7842,0.7863,0.5632,0.7736,0.8006
10,0.3828,0.7604,0.5192,0.6638,0.7703,0.6638,0.6576,0.4407,0.4917,0.9315
11,0.3822,0.7611,0.5005,0.7543,0.7935,0.7543,0.7567,0.5413,0.6747,0.8780
12,0.3786,0.7650,0.4815,0.7387,0.7947,0.7387,0.7402,0.5305,0.6317,0.9050
13,0.3728,0.7697,0.4724,0.7313,0.7895,0.7313,0.7326,0.5183,0.6215,0.9020
14,0.3720,0.7704,0.5095,0.6605,0.7723,0.6605,0.6533,0.4399,0.4826,0.9373
