Mode,Model,Accuracy,F1-Score,Precision,Recall,MCC,ROC-AUC,Latency_ms,FAR,Timestamp
category,InceptionTime,0.7392,0.7225,0.7583,0.7392,0.5785,0.929,0.161,,20260329_120048
category,ClassificationCNN,0.7328,0.7212,0.7445,0.7328,0.5624,0.9214,0.1383,,20260329_073503
category,ClassificationCNN,0.7248,0.7172,0.7384,0.7248,0.555,0.9187,0.1676,,20260329_101509
category,InceptionTime,0.7314,0.7154,0.754,0.7314,0.5703,0.9264,0.151,,20260329_080109
category,ClassificationLSTM,0.7189,0.7067,0.7326,0.7189,0.5444,0.9156,0.1288,,20260329_074336
category,BiGRU,0.7147,0.7033,0.7314,0.7147,0.5381,0.9095,0.1667,,20260329_132254
category,BiGRU,0.7111,0.6996,0.7276,0.7111,0.5328,0.905,0.1358,,20260329_081820
category,ClassificationLSTM,0.7027,0.6886,0.7221,0.7027,0.5201,0.9036,0.1621,,20260329_103224
category,WaveformClassificationCNN,0.6956,0.6857,0.7101,0.6956,0.5071,0.8985,0.1802,,20260329_102354
category,DetectionCNN,0.684,0.6722,0.7012,0.684,0.4854,0.8941,0.1716,,20260329_100136
category,TCN,0.6359,0.6059,0.6524,0.6359,0.3921,0.8394,0.3388,,20260329_121810
category,IterativeMiniRocket,0.5423,0.5139,0.4913,0.5423,0.2437,0.7664,0.8642,,20260329_104952
instance,InceptionTime,0.647,0.6441,0.6601,0.647,0.5929,0.9606,0.135,,20260329_085836
instance,InceptionTime,0.637,0.6354,0.6475,0.637,0.5819,0.9586,0.1483,,20260329_151157
instance,ClassificationCNN,0.6295,0.6255,0.6347,0.6295,0.5743,0.9467,0.131,,20260329_083210
instance,ClassificationCNN,0.6257,0.6233,0.6418,0.6257,0.569,0.9453,0.1522,,20260329_135128
instance,BiGRU,0.6072,0.6077,0.6169,0.6072,0.5477,0.9484,0.1273,,20260329_092135
instance,ClassificationLSTM,0.608,0.6072,0.6181,0.608,0.5484,0.9487,0.1582,,20260329_141123
instance,WaveformClassificationCNN,0.6042,0.6023,0.614,0.6042,0.5446,0.9442,0.1585,,20260329_140032
instance,BiGRU,0.5993,0.6011,0.613,0.5993,0.5379,0.947,0.1624,,20260329_165258
instance,ClassificationLSTM,0.5958,0.5966,0.6153,0.5958,0.5357,0.9468,0.1275,,20260329_084103
instance,DetectionCNN,0.5619,0.5542,0.5684,0.5619,0.494,0.931,0.1484,,20260329_133745
instance,TCN,0.4945,0.4767,0.4893,0.4945,0.4121,0.9107,0.3188,,20260329_152832
instance,IterativeMiniRocket,0.3501,0.3209,0.3764,0.3501,0.2276,0.8567,0.8546,,20260329_142915
