epoch,train_det_loss,train_cls_loss,train_inst_loss,val_det_acc,val_det_f1,val_cls_acc,val_cls_f1,val_inst_acc,val_inst_f1
0,0.5769350728392602,1.0599920010566712,1.8807008969783783,0.81953125,0.8153270000958543,0.7333919156414763,0.8461928419345027,0.34956063268892795,0.5180362026305508
1,0.5233342480659485,0.917351930141449,1.669454036951065,0.80453125,0.797467273706994,0.7636203866432337,0.8659691081215745,0.0,0.0
2,0.5245495581626892,0.8955517834424973,1.63982812166214,0.796953125,0.7883734224073774,0.7430579964850615,0.8525912482355313,0.3804920913884007,0.5512412476129853
3,0.5139969244599343,0.8780341610312462,1.6418277263641357,0.79734375,0.7888321142336742,0.8015817223198594,0.8898644034728319,0.5871704745166959,0.739895914073746
4,0.5136802500486374,0.8678485590219498,1.6313235867023468,0.804140625,0.7968041324717678,0.5759226713532514,0.7309021969443515,0.0,0.0
5,0.5043525668978691,0.8742394560575485,1.6099575996398925,0.81125,0.8054603190110399,0.49086115992970125,0.6584934575032417,0.0,0.0
6,0.5200791683793068,0.8990010434389114,1.6142143869400025,0.809296875,0.8031919693726175,0.5889279437609842,0.7412896803450946,0.0,0.0
7,0.5080913257598877,0.8693141329288483,1.6034946465492248,0.813828125,0.8084951324832329,0.7091388400702988,0.8298200514138817,0.0,0.0
8,0.5109780824184418,0.8578636312484741,1.613588933944702,0.808515625,0.8022523832987096,0.7585237258347979,0.8626823905656608,0.13374340949033392,0.23593241357929004
9,0.5115994003415107,0.8775442296266556,1.5986552560329437,0.808671875,0.8022913596104368,0.6820738137082601,0.8109915369344897,0.027065026362038665,0.05270362765229295
10,0.5113789823651314,0.848051306605339,1.5928658711910249,0.80796875,0.8014718562416833,0.7284710017574693,0.8429079816980173,0.0,0.0
11,0.5072641468048096,0.8912057399749755,1.6102021193504334,0.808125,0.8016458130713869,0.7107205623901581,0.8309019930141771,0.0,0.0
12,0.5151137354969978,0.8879365903139115,1.6130420875549316,0.8075,0.8009372800693271,0.7471001757469244,0.8552459511115582,0.022144112478031636,0.04332874828060523
13,0.5113787177205086,0.8591471928358078,1.5946745419502257,0.806484375,0.7997415091403167,0.6977152899824253,0.8219461697722568,0.0,0.0
14,0.5047980228066444,0.8635972666740418,1.5892247807979585,0.80765625,0.8011238449312057,0.7346221441124781,0.8470111448834853,0.0005272407732864675,0.0010539258738802037
15,0.5100440090894699,0.8677430254220962,1.5922171783447265,0.807734375,0.8011858944751777,0.6567662565905097,0.7928291078816166,0.0036906854130052723,0.007354228681491857
16,0.5084012112021447,0.8662336772680282,1.5830889356136322,0.807734375,0.8012233242407657,0.6840070298769771,0.8123565017741599,0.052372583479789105,0.09953239812959253
17,0.5058483704924583,0.8787477576732635,1.596346378326416,0.80765625,0.8011487835911411,0.6797891036906855,0.80937434609751,0.10579964850615114,0.1913541004450095
18,0.5083659213781356,0.8762103372812271,1.5973522353172303,0.807578125,0.8010742449212558,0.6523725834797891,0.7896192299510743,0.04604569420035149,0.08803763440860216
19,0.5055483561754227,0.8893898487091064,1.6207258808612823,0.80765625,0.8011487835911411,0.6557117750439367,0.7920602908396137,0.040597539543057996,0.07802736024320216
20,0.5065590077638626,0.8670085960626602,1.5996482455730439,0.807890625,0.8013724114917917,0.6657293497363796,0.7993247520573962,0.10210896309314586,0.18529740073353534
21,0.5106508758664131,0.8583625456690789,1.5721338021755218,0.80765625,0.8010863444560795,0.6557117750439367,0.7920602908396137,0.04235500878734622,0.08126791434833923
22,0.5027847921848297,0.8677051442861557,1.5838527166843415,0.80703125,0.8003644170891987,0.6778558875219683,0.8080025138787054,0.04551845342706503,0.08707345772398722
23,0.5094932246208191,0.8671163982152938,1.5884051406383515,0.806875,0.8001901186581594,0.6873462214411248,0.8147068013748567,0.024253075571177504,0.047357584076870275
24,0.5055178374052047,0.8618370962142944,1.5812466740608215,0.807421875,0.8008125904432268,0.6963093145869947,0.8209697472026523,0.03866432337434095,0.07445008460236886
25,0.5056304600834847,0.882806339263916,1.593891249895096,0.8075,0.8008996750183403,0.6971880492091388,0.8215802008905457,0.044463971880492094,0.08514218408211341
26,0.0,0.8805085104703904,1.611677142381668,0.8075,0.8008996750183403,0.6992970123022847,0.8230427138276968,0.02671353251318102,0.05203697363916467
27,0.0,0.8974594891071319,1.6043773329257964,0.8075,0.8008996750183403,0.6963093145869947,0.8209697472026523,0.020210896309314587,0.03962101636520241
28,0.0,0.891812652349472,1.596503927707672,0.8075,0.8008996750183403,0.6975395430579965,0.821824205404286,0.020210896309314587,0.03962101636520241
