epoch,train_det_loss,train_cls_loss,train_inst_loss,val_det_acc,val_det_f1,val_cls_acc,val_cls_f1,val_inst_acc,val_inst_f1
0,0.6342265179157257,1.1557598943710328,1.9412577786445617,0.633390625,0.5294655025998339,0.20610182666148466,0.08439369612256409,0.004741546832491256,0.009390396043458177
1,0.6206098796129227,1.1176906740665435,1.8947627234458924,0.631625,0.5255173250311501,0.21445783132530122,0.10743350774093492,0.0,0.0
2,0.6202879981994629,1.1164534447193146,1.8837373106479645,0.635140625,0.5331272941954908,0.2165954139137194,0.11855751840546967,0.0,0.0
3,0.6170164608955383,1.105188892364502,1.8712802488803864,0.636890625,0.5368371045285385,0.21356393315196268,0.11317131352761578,0.0,0.0
4,0.6167633767127991,1.0886161017417908,1.8651537392139435,0.64353125,0.5508623530840518,0.22619510299261564,0.13567938503870808,0.0,0.0
5,0.6196226177215576,1.0952086668014527,1.8565406861305236,0.637640625,0.5382982845434194,0.21115429459774582,0.11484592999623087,0.0,0.0
6,0.6177433127164841,1.0713689479827881,1.8500194644927979,0.640296875,0.5437970365669427,0.21853867081228137,0.12804048746821603,0.004314030314807617,0.008548299618971687
7,0.6185084521770478,1.0917198765277862,1.8522593245506287,0.640671875,0.5445739325389952,0.2220753983676642,0.13143119714159388,0.0,0.0
8,0.6163424580097199,1.0895025641918183,1.8472036063671111,0.638703125,0.5404218051954647,0.22436844150796736,0.13349054176533393,0.0,0.0
9,0.6175888533592224,1.0674981926679612,1.832202749967575,0.639453125,0.5419295802971194,0.2289933929265449,0.13759734884435362,0.0,0.0
10,0.6163073930740356,1.0656031976938247,1.8311367652416228,0.63834375,0.5396474535907907,0.2178779634667703,0.1293511130172312,3.8865137971239795e-05,7.77145123497109e-05
11,0.6158079761266708,1.0544195042848588,1.8270648529529572,0.636640625,0.5359121848176928,0.22448503692188107,0.13375273717472766,0.0,0.0
12,0.6171143213510514,1.0551016252040863,1.8270705800056457,0.640265625,0.5435684813431694,0.22448503692188107,0.13454927337613956,0.0,0.0
13,0.6180536062717438,1.0589184499979019,1.8210754671096803,0.63734375,0.5373664215752122,0.2275165176836378,0.13670571044048954,0.0,0.0
14,0.6182948703765869,1.0578904031515122,1.8296204771995543,0.641921875,0.5470542693349064,0.2309755149630781,0.13858927187250078,0.0,0.0
15,0.6163657180070877,1.059979127049446,1.830399331331253,0.641046875,0.5452556881051419,0.23579479207151186,0.14115132095283206,0.0,0.0
16,0.6162264442443848,1.050516130566597,1.8205928971767427,0.638546875,0.5400117868197314,0.2373882627283327,0.14153724901455486,0.0,0.0
17,0.615269250035286,1.0531629399061202,1.8187897012233734,0.63903125,0.5410402250676024,0.22825495530509132,0.13736328403311646,0.0,0.0
18,0.6153262175321579,1.0522662187814713,1.820984926223755,0.640828125,0.5447531701799152,0.23742712786630393,0.14147735731170188,0.0,0.0
19,0.6169212861061096,1.046217894434929,1.813333387851715,0.63903125,0.5410402250676024,0.2278274387874077,0.1371088587385006,3.8865137971239795e-05,7.77145123497109e-05
20,0.618533808708191,1.0549763797521592,1.8168407883644104,0.639578125,0.5420883912768647,0.2263505635445006,0.13595834555777173,0.0,0.0
21,0.6163139417171478,1.0511406375169754,1.8243606572151183,0.6393125,0.5415888189049329,0.22506801399144966,0.13516914886973458,0.0,0.0
22,0.6152132655382156,1.0631585863828659,1.825251130104065,0.639859375,0.5427118074501815,0.2342790516906335,0.1390773620211753,3.8865137971239795e-05,7.77145123497109e-05
23,0.6171280438899994,1.0498047603368759,1.8140779104232787,0.638953125,0.5408739032834378,0.23528954527788573,0.13972281250755844,0.0,0.0
24,0.6158790969848633,1.0487480064630508,1.813039234638214,0.63975,0.5424494245031659,0.23295763699961136,0.13972667792728882,0.0,0.0
25,0.615578418135643,1.0549798622131348,1.823533720254898,0.638578125,0.5400707757843349,0.23657209483093666,0.140860451358825,0.0,0.0
26,0.6150020245313644,1.0434345041513442,0.0,0.638953125,0.5408739032834378,0.2323357947920715,0.13908536111364891,0.0,0.0
27,0.6158591334819794,1.045623694062233,0.0,0.639421875,0.5417945814007317,0.2284104158569763,0.1373292999875734,0.0,0.0
28,0.6170704971551895,1.0499105402231217,0.0,0.639671875,0.5422646001594492,0.23245239020598524,0.13948641639062634,0.0,0.0
29,0.6168971054553986,1.0564142363071443,0.0,0.639625,0.5421765029374797,0.23074232413525067,0.13864639745172205,0.0,0.0
30,0.0,1.0444799941778182,0.0,0.639625,0.5421765029374797,0.22992615623785465,0.13813943164331702,0.0,0.0
31,0.0,1.0444018207788468,0.0,0.639625,0.5421765029374797,0.2298095608239409,0.138061322483414,0.0,0.0
32,0.0,1.0460487487316132,0.0,0.639625,0.5421765029374797,0.23210260396424406,0.13910422370092318,0.0,0.0
33,0.0,1.0536351404190063,0.0,0.639625,0.5421765029374797,0.23136416634279053,0.13884251649252471,0.0,0.0
34,0.0,1.0378134291172028,0.0,0.639625,0.5421765029374797,0.2311698406529343,0.13848292058973127,0.0,0.0
35,0.0,1.0479105225801468,0.0,0.639625,0.5421765029374797,0.23082005441119316,0.13838891050396576,0.0,0.0
36,0.0,1.038072578072548,0.0,0.639625,0.5421765029374797,0.23058686358336572,0.13835958202483495,0.0,0.0
37,0.0,1.0448955562114715,0.0,0.639625,0.5421765029374797,0.2311698406529343,0.13854060225659673,0.0,0.0
38,0.0,1.0506805455684662,0.0,0.639625,0.5421765029374797,0.23054799844539448,0.1382454089294717,0.0,0.0
39,0.0,1.044648496389389,0.0,0.639625,0.5421765029374797,0.2306645938593082,0.1383901391015903,0.0,0.0
40,0.0,1.0532288907766343,0.0,0.639625,0.5421765029374797,0.2312475709288768,0.13864772356628513,0.0,0.0
41,0.0,1.038911159992218,0.0,0.639625,0.5421765029374797,0.23179168286047416,0.13886662486514284,0.0,0.0
