epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_ref_elbo
0,0.02,↑,0.029651953893961597,0.0,102.65672841255999,0.4225869712157846,1.7924897410571294,0.02655664609198499,153.8592850436335,153.8592850436335,0.4292820300097051,155.58563964263251,153.88584168972548
1,0.04,↑,0.03856606350603635,0.24471076603835187,12.23553857372711,0.4188007627414962,2.0552868044611876,0.033475088259286204,12.124646339727486,12.124646339727486,0.44988736716787453,13.889113742372263,12.15812142798677
2,0.06,↑,0.03778366664965985,0.25656674939679963,6.414168875955347,0.416520896321294,2.1341517919206665,0.03810091832976626,6.330035034729087,6.330035034729087,0.4388768232387045,8.201633668464163,6.368135953058853
3,0.08,↑,0.03882465314957631,0.26573134845198043,4.428855906537649,0.4177221190307013,2.2116272496593976,0.034291125206357756,4.864850162164025,4.864850162164025,0.44148667804572894,6.753884867481563,4.899141287370383
4,0.1,↑,0.03875800194122381,0.2669453651890481,3.3368171389553756,0.4206047648965247,2.2624242787975697,0.03560211264487842,3.5863042227599933,3.5863042227599933,0.44474156994534575,5.516584886156994,3.6219063354048715
5,0.12000000000000001,↑,0.040013880182411574,0.26099901131213216,2.609990065656287,0.42712955914178435,2.3056231861616907,0.036655546004033604,2.8410049939285154,2.8410049939285154,0.4386396907350939,4.79104636285616,2.877660539932549
6,0.14,↑,0.041103452240815165,0.2538991598228408,2.115826376854869,0.43002226825379475,2.341702728258027,0.03878736239857972,2.3592768845998724,2.3592768845998724,0.4489080676727969,4.355739864966144,2.398064246998452
7,0.16,↑,0.04233994944720255,0.24400036105656556,1.7428597136701152,0.43321985667983204,2.3725470002821227,0.03914650837364404,1.8316361029510912,1.8316361029510912,0.4508648863386201,3.8765495004861252,1.8707826113247352
8,0.18,↑,0.04396326339129895,0.23441869829302112,1.4651168967235346,0.43720166103411484,2.401457550608652,0.04062957313600118,1.6345967990548715,1.6345967990548715,0.4555959842451241,3.6877740466076396,1.6752263721908727
9,0.19999999999999998,↑,0.044748382595554345,0.22516503425442938,1.2509168077502066,0.4403166164375092,2.4219650964297332,0.0428607149515301,1.1588444596399432,1.1588444596399432,0.46420198678970337,3.2856340064950613,1.2017051745914733
10,0.21999999999999997,↑,0.04591709719173547,0.215089076956487,1.0754453701335982,0.44335491269798855,2.444484070574239,0.04425522758949386,1.2689108696320783,1.2689108696320783,0.472930824627047,3.3813082426786423,1.3131660972215722
11,0.23999999999999996,↑,0.046666393860796095,0.2054950609480785,0.9340684641562648,0.4452665081617413,2.4559237014989415,0.04490723634017226,0.984982714380907,0.984982714380907,0.4802612244434979,3.137446347138156,1.0298899507210793
12,0.25999999999999995,↑,0.04797718392182159,0.1977535278894715,0.8239730518041415,0.44694484512366334,2.4735747114847206,0.0459765059488785,0.8440211376418238,0.8440211376418238,0.4825990545037,3.046171422885812,0.8899976435907023
13,0.27999999999999997,↑,0.049319540309042495,0.18999090615523276,0.7307342815713174,0.447221402390768,2.48314799414641,0.04792205775764002,0.74732797090774,0.74732797090774,0.4849555055084436,2.971413381073786,0.79525002866538
14,0.3,↑,0.050772087737875844,0.18425833120563628,0.6580654658860793,0.44728346682054637,2.4995523573425955,0.050017413835081716,0.7977372856567735,0.7977372856567735,0.4857558488197949,2.9954548568829247,0.8477546994918552
15,0.32,↑,0.05202543129574995,0.17734706612095336,0.591156864463442,0.44763475315871376,2.5047899252495895,0.04992853481646465,0.644413884729147,0.644413884729147,0.48602489487308526,2.8854106295367945,0.6943424195456116
16,0.32,→hold,0.05313596791769128,0.1723175750780756,0.5384924346169322,0.44771338978244357,2.520784751940536,0.05308537438268895,0.49598941304113553,0.49598941304113553,0.48640130784200586,2.7717658793148785,0.5490747874238244
17,0.34,↑,0.05445305172175253,0.17319653577829236,0.5412391867709406,0.44771424174196633,2.518858955361769,0.054485911786880184,0.5587073640654916,0.5587073640654916,0.485683248175875,2.8158292122509168,0.6131932758523718
18,0.34,→hold,0.05640261911858059,0.1674264329621395,0.4924306799416708,0.44779363913796244,2.5269466819117232,0.0561214638064089,0.43067190285934054,0.43067190285934054,0.4858262047333562,2.7338331821172135,0.48679336666574946
19,0.36000000000000004,↑,0.058135309467759765,0.16925460939853681,0.497807669308762,0.4480295243794808,2.5278361846227635,0.05560655614523136,0.5517891148186248,0.5517891148186248,0.4865841349667829,2.81338188700054,0.6073956709638562
20,0.38000000000000006,↑,0.059091629591872974,0.16466467258426679,0.4574018502616703,0.4480257359800312,2.5389225386496657,0.05825022458220306,0.504643496773813,0.504643496773813,0.4865165071804886,2.771917014018349,0.5628937213560161
21,0.38000000000000006,→hold,0.060032878284844604,0.15949497718157235,0.41972362964308046,0.4480106208757309,2.5408511868312686,0.05973956756212789,0.4869055394893107,0.4869055394893107,0.4868321765376174,2.76273324891277,0.5466451070514387
22,0.38000000000000006,→hold,0.06208980081713323,0.16115811282833678,0.42410030178830854,0.44798480811145996,2.546349575243687,0.06170718493344991,0.4460065658001796,0.4460065658001796,0.48688031409097754,2.741052745477013,0.5077137507336296
23,0.38000000000000006,→hold,0.06344960581928295,0.16167610757550538,0.42546344565986355,0.4479683468000909,2.549166156341754,0.06320961457474725,0.4403674402476653,0.4403674402476653,0.48810777311091835,2.7378434733204218,0.5035770548224126
24,0.38000000000000006,→hold,0.06474316835767911,0.16251134364983996,0.42766143598875006,0.4480028005276552,2.548277931850358,0.06536644405644873,0.3966568765109,0.3966568765109,0.48532894966395007,2.7116310732520144,0.46202332056734874
25,0.4000000000000001,↑,0.06622735203461948,0.16375721434546547,0.4309400435841992,0.44791997735049516,2.5470179248730864,0.0650312850130317,0.46552363467281277,0.46552363467281277,0.48589454485994316,2.7481572148592575,0.5305549196858445
26,0.4000000000000001,→hold,0.06770491313718449,0.16099295789693058,0.4024823870954935,0.44792038566754433,2.5586648487528874,0.06682720994981735,0.38787716444905684,0.38787716444905684,0.48596850296725397,2.7016435842151227,0.4547043743988742
27,0.4000000000000001,→hold,0.0681936758923452,0.16071934702955992,0.4017983600707516,0.44804079184415535,2.553089255784215,0.06838768686208388,0.4361678382948689,0.4361678382948689,0.4872445812367875,2.743959354965583,0.5045555251569528
28,0.4000000000000001,→hold,0.06930515480596618,0.16123051872005578,0.4030762896264149,0.44795959430938603,2.553161608982176,0.07077366115687334,0.39619028220034164,0.39619028220034164,0.4864650634319886,2.715872927852299,0.466963943357215
29,0.4200000000000001,↑,0.07038969894203508,0.1622538730179714,0.4056346752345282,0.447766896221622,2.553881865678143,0.06905123593447648,0.3945558486587327,0.3945558486587327,0.48552754092151706,2.7108958415363147,0.4636070845932092
30,0.4200000000000001,→hold,0.07089317524113525,0.15884699148887302,0.37820713380430515,0.4480260083783043,2.5623445645437304,0.07104163961080105,0.37188067538258823,0.37188067538258823,0.486509469702192,2.696741329587024,0.4429223149933893
31,0.4200000000000001,→hold,0.0720601466152316,0.1595553532312865,0.37989370988879917,0.44798634898684997,2.562554395546469,0.0719084125822005,0.3810472715160121,0.3810472715160121,0.48632098621000414,2.710141475433889,0.4529556840982126
