epoch,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc,ped_f1,light_f1,medium_f1,heavy_f1
0,0.775,0.507,0.5558,1.0764,0.4169,0.5282,0.1297,0.4486,0.6426,0.4467
1,0.614,0.6054,0.6322,0.992,0.4533,0.6206,0.1681,0.4449,0.7829,0.4173
2,0.5726,0.6294,0.6521,1.0501,0.4464,0.6357,0.0668,0.4829,0.7864,0.4495
3,0.546,0.6451,0.6661,1.1553,0.434,0.581,0.0775,0.4635,0.7096,0.4854
4,0.5267,0.6591,0.6789,0.9631,0.4871,0.6288,0.19,0.4842,0.7656,0.5087
5,0.5111,0.6684,0.6855,1.0002,0.4914,0.6112,0.2292,0.4871,0.7365,0.5127
6,0.5016,0.6757,0.692,1.1845,0.4416,0.5507,0.1486,0.4687,0.651,0.4979
7,0.4923,0.6801,0.6953,1.0777,0.473,0.5944,0.188,0.4794,0.7137,0.511
8,0.4833,0.6855,0.7004,1.1024,0.4745,0.615,0.1371,0.5032,0.7373,0.5204
9,0.478,0.6883,0.7024,1.0976,0.4737,0.6392,0.1016,0.4921,0.7724,0.5288
10,0.4714,0.6924,0.7062,1.1226,0.4718,0.6362,0.1061,0.4792,0.7728,0.5292
11,0.4668,0.6953,0.7081,1.1243,0.4601,0.6159,0.0951,0.4757,0.7463,0.5233
12,0.4604,0.6989,0.7111,1.1376,0.4632,0.5927,0.1418,0.4819,0.7066,0.5223
13,0.4547,0.7023,0.7131,1.14,0.4696,0.6396,0.082,0.4891,0.7723,0.5348
14,0.4515,0.7032,0.7144,1.1275,0.4861,0.605,0.2222,0.47,0.7272,0.525
15,0.4489,0.7069,0.7164,1.0879,0.4827,0.6596,0.0988,0.5044,0.7949,0.5327
16,0.4447,0.7083,0.7192,1.1325,0.4632,0.605,0.0927,0.5121,0.7147,0.5332
17,0.4399,0.7103,0.7208,0.9887,0.5185,0.6391,0.2387,0.534,0.7525,0.5487
18,0.4356,0.7143,0.7243,1.2666,0.4386,0.5674,0.0906,0.4827,0.6699,0.5113
19,0.4343,0.7143,0.7252,1.1571,0.4699,0.6272,0.0792,0.5154,0.7464,0.5386
20,0.4312,0.7165,0.726,1.0233,0.5147,0.6586,0.1972,0.5274,0.7814,0.5529
21,0.4277,0.7195,0.7273,1.0652,0.4981,0.6731,0.1285,0.5028,0.808,0.5532
22,0.4244,0.7215,0.7297,1.1414,0.4763,0.6372,0.105,0.4902,0.7662,0.5438
23,0.4217,0.7223,0.7306,1.1321,0.4866,0.6397,0.1272,0.5088,0.7631,0.5476
24,0.4187,0.7243,0.7316,1.1244,0.4813,0.649,0.0989,0.4982,0.7803,0.5476
25,0.4172,0.7263,0.7335,1.0807,0.4771,0.6427,0.0792,0.5266,0.7661,0.5367
26,0.4136,0.7274,0.7347,1.2567,0.4617,0.6055,0.0923,0.5001,0.7166,0.5377
27,0.4112,0.7291,0.7363,1.166,0.4822,0.6463,0.1173,0.4842,0.7799,0.5474
28,0.4098,0.7289,0.7364,1.1861,0.4775,0.6208,0.1377,0.4844,0.7427,0.5454
29,0.4068,0.7316,0.7394,1.138,0.4807,0.6344,0.1228,0.4884,0.7607,0.551
