Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
50,0.4277,0.6508,1.2747,0.4343,0.6101,0.4343,0.4386,0.2657,0.7951,0.6153,0.2001,0.5893
51,0.4257,0.6513,1.2010,0.4700,0.5945,0.4700,0.4725,0.2819,0.8205,0.5505,0.2533,0.6241
52,0.4251,0.6517,1.2393,0.4510,0.6129,0.4510,0.4509,0.2775,0.7846,0.6225,0.2075,0.6212
53,0.4229,0.6527,1.3066,0.4495,0.5957,0.4495,0.4541,0.2699,0.8345,0.5342,0.2272,0.6031
54,0.4240,0.6541,1.3106,0.4414,0.6050,0.4414,0.4484,0.2709,0.7916,0.6126,0.2158,0.5907
55,0.4213,0.6552,1.1614,0.4830,0.6048,0.4830,0.4777,0.2928,0.8170,0.5514,0.2443,0.6641
56,0.4201,0.6554,1.1826,0.4796,0.6088,0.4796,0.4716,0.2915,0.8231,0.5694,0.2316,0.6653
57,0.4181,0.6577,1.2486,0.4573,0.6154,0.4573,0.4559,0.2821,0.7968,0.6252,0.2135,0.6274
58,0.4181,0.6577,1.3424,0.4471,0.6003,0.4471,0.4629,0.2738,0.8371,0.5505,0.2577,0.5637
59,0.4149,0.6588,1.2126,0.4778,0.6105,0.4778,0.4758,0.2934,0.8275,0.5775,0.2446,0.6460
60,0.4131,0.6602,1.1663,0.4839,0.6098,0.4839,0.4770,0.2955,0.8012,0.5982,0.2393,0.6666
61,0.4116,0.6615,1.1435,0.4849,0.6148,0.4849,0.4772,0.2968,0.7469,0.6468,0.2350,0.6743
62,0.4100,0.6631,1.2059,0.4812,0.6090,0.4812,0.4786,0.2953,0.7977,0.6000,0.2459,0.6537
63,0.4081,0.6634,1.1658,0.4846,0.6084,0.4846,0.4793,0.2954,0.7925,0.5847,0.2440,0.6669
64,0.4080,0.6644,1.1530,0.4870,0.6072,0.4870,0.4769,0.2961,0.7898,0.6126,0.2355,0.6772
65,0.4064,0.6654,1.2345,0.4821,0.6070,0.4821,0.4781,0.2948,0.8266,0.5649,0.2456,0.6569
66,0.4034,0.6676,1.1782,0.4898,0.6121,0.4898,0.4874,0.3015,0.8074,0.5910,0.2606,0.6587
67,0.4008,0.6680,1.1695,0.4916,0.6064,0.4916,0.4835,0.2991,0.8091,0.5901,0.2496,0.6740
68,0.4009,0.6682,1.2551,0.4820,0.6054,0.4820,0.4828,0.2947,0.8599,0.5261,0.2631,0.6395
69,0.4002,0.6686,1.1324,0.4921,0.6216,0.4921,0.4754,0.3016,0.7618,0.6396,0.2212,0.7041
70,0.3986,0.6695,1.1521,0.4933,0.6108,0.4933,0.4856,0.3015,0.7916,0.5928,0.2501,0.6797
71,0.3986,0.6691,1.1641,0.4939,0.6082,0.4939,0.4908,0.3025,0.8214,0.5703,0.2675,0.6622
72,0.3980,0.6705,1.1503,0.4949,0.6165,0.4949,0.4839,0.3046,0.7916,0.6171,0.2413,0.6888
73,0.3951,0.6717,1.1599,0.4968,0.6090,0.4968,0.4930,0.3052,0.8056,0.6072,0.2690,0.6642
74,0.3956,0.6726,1.1918,0.4885,0.6165,0.4885,0.4806,0.3021,0.7898,0.6297,0.2396,0.6739
75,0.3958,0.6719,1.1813,0.4965,0.6088,0.4965,0.4900,0.3038,0.8371,0.5667,0.2626,0.6713
76,0.3943,0.6721,1.1587,0.4966,0.6170,0.4966,0.4889,0.3072,0.7986,0.6216,0.2532,0.6787
77,0.3935,0.6723,1.2538,0.4858,0.5964,0.4858,0.4948,0.2950,0.8476,0.5414,0.3059,0.6041
78,0.3920,0.6748,1.1684,0.4934,0.6134,0.4934,0.4819,0.3025,0.8117,0.5928,0.2397,0.6875
79,0.3930,0.6741,1.1682,0.5019,0.6185,0.5019,0.4910,0.3105,0.8301,0.5649,0.2521,0.6960
80,0.3913,0.6746,1.1678,0.4979,0.6164,0.4979,0.4907,0.3081,0.7942,0.6297,0.2570,0.6775
81,0.3896,0.6767,1.1809,0.4923,0.6123,0.4923,0.4839,0.3021,0.8039,0.5982,0.2462,0.6786
82,0.3914,0.6754,1.1653,0.4976,0.6109,0.4976,0.4913,0.3050,0.8091,0.5892,0.2622,0.6751
83,0.3867,0.6762,1.1957,0.4965,0.6027,0.4965,0.4966,0.3024,0.7898,0.6171,0.2860,0.6470
84,0.3840,0.6792,1.1987,0.4989,0.6107,0.4989,0.4923,0.3069,0.8231,0.5793,0.2632,0.6765
85,0.3879,0.6762,1.1968,0.4966,0.6078,0.4966,0.4938,0.3048,0.8109,0.5982,0.2729,0.6602
86,0.3849,0.6787,1.1935,0.4982,0.6163,0.4982,0.4961,0.3100,0.8012,0.6243,0.2724,0.6622
87,0.3848,0.6785,1.1597,0.5030,0.6123,0.5030,0.4942,0.3092,0.8179,0.5874,0.2631,0.6857
88,0.3842,0.6781,1.1914,0.5002,0.6128,0.5002,0.4982,0.3094,0.8135,0.5919,0.2786,0.6634
89,0.3846,0.6785,1.2057,0.4944,0.6104,0.4944,0.4929,0.3051,0.7968,0.6270,0.2714,0.6544
90,0.3843,0.6784,1.1853,0.4978,0.6122,0.4978,0.4915,0.3064,0.7960,0.6162,0.2614,0.6744
91,0.3847,0.6791,1.1653,0.4988,0.6125,0.4988,0.4910,0.3067,0.7977,0.6153,0.2586,0.6795
92,0.3822,0.6800,1.1634,0.5008,0.6156,0.5008,0.4913,0.3090,0.7925,0.6270,0.2554,0.6866
93,0.3824,0.6794,1.1630,0.5022,0.6147,0.5022,0.4944,0.3101,0.7995,0.6117,0.2626,0.6837
94,0.3838,0.6782,1.1762,0.5055,0.6158,0.5055,0.4996,0.3136,0.8074,0.6081,0.2736,0.6794
95,0.3839,0.6787,1.2007,0.4977,0.6105,0.4977,0.4955,0.3069,0.8074,0.6063,0.2755,0.6595
96,0.3825,0.6803,1.1915,0.4970,0.6121,0.4970,0.4913,0.3065,0.7951,0.6279,0.2617,0.6707
97,0.3819,0.6810,1.1879,0.5008,0.6152,0.5008,0.4946,0.3100,0.7995,0.6207,0.2649,0.6765
98,0.3828,0.6799,1.1672,0.5010,0.6158,0.5010,0.4929,0.3097,0.7828,0.6414,0.2590,0.6826
99,0.3807,0.6806,1.1669,0.5025,0.6166,0.5025,0.4945,0.3112,0.7863,0.6378,0.2614,0.6837
100,0.3822,0.6802,1.1891,0.4995,0.6110,0.4995,0.4950,0.3079,0.8039,0.6153,0.2703,0.6682
