Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.4484,0.7219,0.4501,0.7626,0.7915,0.7626,0.7654,0.5451,0.7032,0.8549
2,0.4066,0.7444,0.4783,0.7122,0.7766,0.7122,0.7129,0.4877,0.5941,0.8959
3,0.3998,0.7481,0.5359,0.6262,0.7566,0.6262,0.6130,0.3936,0.4261,0.9374
4,0.3975,0.7494,0.4998,0.7829,0.7926,0.7829,0.7850,0.5605,0.7725,0.7990
5,0.3964,0.7509,0.4682,0.7732,0.7959,0.7732,0.7759,0.5586,0.7266,0.8457
6,0.3930,0.7520,0.4493,0.7460,0.7918,0.7460,0.7481,0.5328,0.6553,0.8870
7,0.3885,0.7557,0.4619,0.7368,0.7939,0.7368,0.7381,0.5281,0.6280,0.9058
8,0.3888,0.7546,0.4706,0.7880,0.7986,0.7880,0.7901,0.5724,0.7736,0.8104
9,0.3842,0.7583,0.4932,0.7539,0.7912,0.7539,0.7565,0.5382,0.6782,0.8716
10,0.3838,0.7597,0.4973,0.7759,0.7939,0.7759,0.7785,0.5578,0.7411,0.8300
