Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4382,0.8037,3179.6512,0.6094,0.5666,0.6094,0.4615,1.0000,0.0000
2,0.4174,0.8141,28133.8527,0.6094,0.3713,0.6094,0.4614,1.0000,0.0000
3,0.4116,0.8164,4498.8447,0.6090,0.4544,0.6090,0.4615,0.9993,0.0003
4,0.4081,0.8179,234402.0868,0.6094,0.3713,0.6094,0.4615,1.0000,0.0000
5,0.4057,0.8191,5.5827,0.6093,0.4690,0.6093,0.4615,0.9999,0.0000
6,0.4004,0.8213,0.7077,0.3971,0.5419,0.3971,0.2472,0.0246,0.9783
7,0.3983,0.8219,23622.6001,0.6094,0.7620,0.6094,0.4615,1.0000,0.0000
