Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,10.4060,0.5965,1.4355,0.5281,0.5513,0.5281,0.4994,0.0107,0.0000,0.0108,0.8014,0.1570
2,0.7756,0.6048,1.5772,0.5050,0.5868,0.5050,0.4811,0.2973,0.0000,0.0860,0.7674,0.1145
3,0.7108,0.6198,1.4956,0.4882,0.6006,0.4882,0.4900,0.7195,0.0000,0.1075,0.6904,0.1431
