Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_cx30,Val_Acc_motor2,Val_Acc_polaris0235pm_nolineofsig,Val_Acc_polaris0215pm,Val_Acc_forester2,Val_Acc_background,Val_Acc_miata,Val_Acc_walk2,Val_Acc_warhog_nolineofsight,Val_Acc_pickup,Val_Acc_scooter2,Val_Acc_walk,Val_Acc_silverado0255pm,Val_Acc_bicycle2,Val_Acc_scooter,Val_Acc_forester,Val_Acc_tesla,Val_Acc_gle350,Val_Acc_mustang,Val_Acc_silverado0315pm,Val_Acc_motor,Val_Acc_warhog1149am,Val_Acc_pickup2,Val_Acc_polaris0150pm,Val_Acc_miata_mustang,Val_Acc_bicycle,Val_Acc_mustang2,Val_Acc_tesla2,Val_Acc_mustang0528,Val_Acc_warhog1135am
1,2.1386,0.3082,2.2134,0.2960,0.2811,0.2960,0.2593,0.3065,0.0000,0.0000,0.0000,0.0000,0.8567,0.2412,0.0721,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.3707,0.0528,0.4182,0.4243,0.0000,0.0111,0.0000,0.0000,0.0000,0.7071,0.0000,0.0303,0.0000,0.0000,0.0000
2,1.9960,0.3432,2.1695,0.3060,0.2905,0.3060,0.2728,0.2788,0.0000,0.0000,0.0000,0.0476,0.8544,0.3036,0.1549,0.0000,0.0000,0.0000,0.0000,0.0000,0.2486,0.0000,0.2556,0.0011,0.4460,0.3396,0.0000,0.0000,0.0000,0.0000,0.0000,0.8237,0.0000,0.0000,0.0000,0.0080,0.0000
3,1.9725,0.3486,2.1273,0.3156,0.3007,0.3156,0.2850,0.3910,0.0000,0.0000,0.0000,0.0000,0.8690,0.3012,0.1922,0.0000,0.0918,0.0000,0.0000,0.0000,0.0000,0.0000,0.4081,0.0631,0.3532,0.4667,0.0000,0.1051,0.0000,0.0000,0.0000,0.6251,0.0000,0.0121,0.0000,0.0133,0.0000
4,1.9643,0.3503,2.1256,0.3238,0.3178,0.3238,0.2873,0.2123,0.0000,0.0000,0.0000,0.0143,0.8713,0.3530,0.1732,0.0000,0.0184,0.0000,0.0000,0.0000,0.2431,0.2860,0.0394,0.0000,0.3482,0.5566,0.0000,0.0889,0.0000,0.0000,0.0000,0.6886,0.0000,0.0101,0.0000,0.0071,0.0000
5,1.9601,0.3507,2.1465,0.3245,0.3136,0.3245,0.2860,0.2033,0.0000,0.0000,0.0000,0.0000,0.9004,0.4426,0.1698,0.0000,0.0203,0.0120,0.0000,0.0000,0.0275,0.0000,0.6616,0.0126,0.3809,0.4085,0.0000,0.0030,0.0000,0.0000,0.0000,0.7296,0.0000,0.0000,0.0000,0.0000,0.0000
