Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6024,0.5408,3.4803,0.6086,0.3704,0.6086,0.4605,0.0000,1.0000,0.0000
2,0.5664,0.5860,1.3025,0.6071,0.4824,0.6071,0.4617,-0.0130,0.9957,0.0027
3,0.5410,0.6218,47.7779,0.6086,0.5661,0.6086,0.4606,0.0015,1.0000,0.0001
4,0.5332,0.6261,0.7239,0.3928,0.5905,0.3928,0.2249,0.0129,0.0039,0.9976
5,0.5466,0.5990,3.7732,0.6043,0.5065,0.6043,0.4671,-0.0105,0.9849,0.0126
6,0.5359,0.6182,0.6890,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
7,0.5272,0.6338,4.5471,0.6045,0.5054,0.6045,0.4667,-0.0109,0.9856,0.0119
8,0.5316,0.6248,0.6887,0.3917,0.6097,0.3917,0.2212,0.0074,0.0008,0.9996
9,0.5107,0.6580,6.9529,0.6041,0.5038,0.6041,0.4669,-0.0122,0.9846,0.0125
10,0.5082,0.6569,0.6870,0.3946,0.5339,0.3946,0.2351,0.0039,0.0131,0.9878
11,0.4939,0.6788,21.8392,0.6065,0.4965,0.6065,0.4629,-0.0108,0.9935,0.0048
12,0.4908,0.6762,0.6917,0.3882,0.4371,0.3882,0.2603,-0.0681,0.0432,0.9249
13,0.4982,0.6662,7.8344,0.6038,0.5081,0.6038,0.4682,-0.0102,0.9826,0.0147
14,0.4882,0.6801,0.7443,0.3931,0.5564,0.3931,0.2270,0.0080,0.0057,0.9954
15,0.4843,0.6856,1.0831,0.6118,0.5844,0.6118,0.5003,0.0640,0.9662,0.0608
16,0.4842,0.6832,3.0214,0.6051,0.5275,0.6051,0.4710,0.0026,0.9827,0.0180
17,0.4733,0.7010,0.8196,0.3947,0.5690,0.3947,0.2322,0.0145,0.0102,0.9927
18,0.4595,0.7173,40.5534,0.6061,0.4958,0.6061,0.4633,-0.0121,0.9922,0.0057
