Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.4666,0.2222,3.2653,0.1214,0.2619,0.1214,0.0830,0.0891,0.5474,0.6750,0.0029,0.1497,0.0394,0.0315,0.0050,0.2351,0.0000,0.0000,0.7674,0.6222,0.0080,0.6321
2,0.9877,0.3870,3.0294,0.1500,0.2108,0.1500,0.1313,0.1018,0.7085,0.6000,0.0776,0.1762,0.1685,0.1569,0.0126,0.4289,0.0000,0.0000,0.5169,0.4847,0.0586,0.4528
3,0.9010,0.4270,2.9578,0.1675,0.2194,0.1675,0.1545,0.1112,0.6848,0.6000,0.1054,0.1912,0.2101,0.1907,0.0277,0.5039,0.0000,0.0068,0.4663,0.4306,0.1232,0.3679
4,0.8476,0.4518,3.0873,0.1770,0.2974,0.1770,0.1646,0.1261,0.7275,0.5938,0.1186,0.1770,0.2188,0.1933,0.0302,0.5168,0.0015,0.0046,0.5775,0.4625,0.1359,0.3491
5,0.8163,0.4694,3.3280,0.1682,0.3202,0.1682,0.1555,0.1190,0.7417,0.6375,0.1318,0.2154,0.1926,0.1378,0.0176,0.4806,0.0005,0.0011,0.5326,0.4833,0.1199,0.3679
6,0.7861,0.4843,3.1587,0.1952,0.3233,0.1952,0.1833,0.1362,0.6943,0.6125,0.1508,0.1908,0.3020,0.2837,0.0378,0.5349,0.0020,0.0171,0.4303,0.4181,0.1707,0.3019
7,0.7639,0.4947,3.3046,0.1890,0.3537,0.1890,0.1806,0.1357,0.7370,0.6188,0.1376,0.2223,0.2232,0.1871,0.0453,0.5168,0.0025,0.0046,0.5090,0.4653,0.1821,0.3679
8,0.7436,0.5064,3.2017,0.1965,0.3120,0.1965,0.1828,0.1382,0.6445,0.6375,0.1552,0.2760,0.3567,0.1777,0.0756,0.5659,0.0042,0.0262,0.5326,0.3958,0.1727,0.2264
9,0.7251,0.5168,3.1690,0.2003,0.3521,0.2003,0.1902,0.1432,0.6185,0.6687,0.1508,0.2864,0.3173,0.2027,0.0529,0.5375,0.0025,0.0194,0.4865,0.4306,0.1835,0.3113
10,0.6967,0.5294,3.3615,0.1892,0.3599,0.1892,0.1795,0.1313,0.6540,0.6500,0.1713,0.2303,0.3676,0.2185,0.0856,0.5917,0.0097,0.0137,0.3888,0.3611,0.1607,0.2736
11,0.6807,0.5353,3.2691,0.2119,0.3740,0.2119,0.2024,0.1520,0.6066,0.6188,0.1654,0.2580,0.4070,0.2529,0.0630,0.5840,0.0144,0.0239,0.4865,0.3750,0.2019,0.2925
12,0.6602,0.5469,3.4930,0.2225,0.4114,0.2225,0.2085,0.1690,0.5972,0.6000,0.1669,0.2326,0.3632,0.2931,0.0554,0.5891,0.0129,0.0217,0.7472,0.4250,0.1677,0.2925
13,0.6456,0.5531,3.3397,0.2346,0.4039,0.2346,0.2266,0.1771,0.5024,0.6625,0.1728,0.3029,0.4442,0.2759,0.0479,0.6047,0.0243,0.0502,0.6483,0.3819,0.2092,0.2358
14,0.6287,0.5619,3.4590,0.2282,0.3942,0.2282,0.2169,0.1684,0.4953,0.6188,0.1669,0.2710,0.5120,0.3035,0.0630,0.6098,0.0151,0.0422,0.5618,0.4069,0.1942,0.3019
15,0.6119,0.5695,3.3789,0.2361,0.4166,0.2361,0.2253,0.1779,0.5806,0.6312,0.1786,0.2672,0.3764,0.3058,0.0680,0.5969,0.0236,0.0616,0.6787,0.4042,0.1979,0.3019
16,0.5941,0.5769,3.4303,0.2408,0.4030,0.2408,0.2292,0.1802,0.4597,0.6188,0.1698,0.3274,0.5120,0.2960,0.0856,0.6047,0.0328,0.0536,0.7067,0.3375,0.1761,0.3113
17,0.5826,0.5838,3.7073,0.2246,0.4202,0.2246,0.2172,0.1659,0.4953,0.6312,0.1962,0.3512,0.4311,0.2153,0.0655,0.5995,0.0199,0.0718,0.5382,0.3736,0.2015,0.2547
18,0.5688,0.5890,3.4135,0.2408,0.4036,0.2408,0.2295,0.1780,0.4573,0.6250,0.1684,0.3597,0.4989,0.2581,0.0957,0.6357,0.0429,0.0570,0.6360,0.3375,0.1928,0.2453
19,0.5510,0.5968,3.5732,0.2487,0.4063,0.2487,0.2380,0.1863,0.4905,0.5875,0.1757,0.4330,0.4311,0.2147,0.0680,0.6124,0.0400,0.1140,0.6180,0.3597,0.2220,0.2170
20,0.5434,0.6013,3.5547,0.2536,0.4173,0.2536,0.2474,0.1913,0.4313,0.6375,0.1816,0.3263,0.4267,0.3272,0.1033,0.6047,0.0407,0.1072,0.6596,0.3444,0.2226,0.1887
21,0.5312,0.6060,3.5189,0.2622,0.3975,0.2622,0.2440,0.1999,0.3341,0.6188,0.1801,0.3681,0.4223,0.2944,0.0856,0.6357,0.0243,0.1231,0.8674,0.3514,0.2377,0.2358
22,0.5220,0.6111,3.4592,0.2691,0.4042,0.2691,0.2538,0.2061,0.4597,0.6625,0.1757,0.4407,0.3414,0.2853,0.1008,0.5969,0.0194,0.1893,0.7371,0.3306,0.2514,0.2547
23,0.5149,0.6127,3.5937,0.2604,0.4150,0.2604,0.2518,0.1957,0.4265,0.6125,0.1845,0.4280,0.3851,0.2941,0.0856,0.6047,0.0372,0.1790,0.5809,0.3306,0.2287,0.2075
24,0.5017,0.6204,3.6227,0.2793,0.4107,0.2793,0.2669,0.2178,0.3791,0.6500,0.1830,0.4361,0.4136,0.2967,0.1134,0.6124,0.0437,0.1870,0.8191,0.3403,0.2434,0.1887
25,0.4933,0.6241,3.7287,0.2754,0.4336,0.2754,0.2639,0.2120,0.2820,0.6000,0.1889,0.4975,0.4705,0.2620,0.1008,0.6331,0.0551,0.1973,0.6955,0.3028,0.2340,0.2358
26,0.4854,0.6278,3.7304,0.2713,0.4468,0.2713,0.2609,0.2088,0.2251,0.6375,0.1903,0.4825,0.4814,0.2857,0.1209,0.6563,0.0457,0.1756,0.6596,0.3097,0.2253,0.2075
27,0.4805,0.6301,3.6692,0.2860,0.4343,0.2860,0.2716,0.2207,0.2085,0.6438,0.2035,0.5286,0.4245,0.2672,0.1134,0.6382,0.0571,0.2258,0.7236,0.3042,0.2561,0.1792
28,0.4737,0.6341,3.6016,0.2889,0.4465,0.2889,0.2796,0.2243,0.3270,0.6250,0.1903,0.4906,0.4289,0.3087,0.1310,0.6150,0.0660,0.2087,0.7112,0.3056,0.2444,0.2642
29,0.4649,0.6367,3.6598,0.2935,0.4268,0.2935,0.2849,0.2310,0.3152,0.6250,0.2020,0.4902,0.3786,0.2782,0.1335,0.6408,0.0782,0.1938,0.8056,0.3306,0.2608,0.2547
30,0.4582,0.6402,3.8038,0.2844,0.4363,0.2844,0.2777,0.2164,0.2370,0.6125,0.1977,0.5301,0.3939,0.2889,0.1310,0.6305,0.0755,0.2554,0.5225,0.3056,0.2511,0.1887
31,0.4553,0.6434,3.8178,0.2993,0.4559,0.2993,0.2870,0.2333,0.2441,0.6375,0.2138,0.6000,0.4201,0.2876,0.1184,0.6227,0.0702,0.1802,0.6596,0.3014,0.2628,0.1604
32,0.4490,0.6459,3.8262,0.2980,0.4547,0.2980,0.2845,0.2351,0.2156,0.6312,0.2006,0.5370,0.4223,0.3113,0.1259,0.6434,0.0640,0.2064,0.7933,0.3014,0.2474,0.2264
33,0.4418,0.6492,3.9095,0.3026,0.4455,0.3026,0.2887,0.2387,0.2275,0.6188,0.1962,0.5670,0.4201,0.2805,0.1688,0.6460,0.0750,0.2201,0.7876,0.3083,0.2571,0.1981
34,0.4368,0.6531,3.9370,0.3016,0.4527,0.3016,0.2855,0.2377,0.2749,0.6125,0.2079,0.6150,0.3501,0.2902,0.1411,0.6279,0.0628,0.2657,0.7090,0.2861,0.2404,0.1604
35,0.4344,0.6530,3.8155,0.3020,0.4492,0.3020,0.2841,0.2365,0.1872,0.6312,0.2035,0.6372,0.4158,0.2785,0.1058,0.6253,0.0625,0.2292,0.6483,0.3264,0.2585,0.2547
36,0.4261,0.6573,4.0286,0.3064,0.4495,0.3064,0.2924,0.2407,0.2867,0.6312,0.2079,0.5896,0.3107,0.2931,0.1310,0.6176,0.0755,0.2896,0.6978,0.3250,0.2645,0.1415
37,0.4292,0.6562,4.1484,0.3039,0.4559,0.3039,0.2937,0.2392,0.2867,0.6375,0.2020,0.5651,0.3260,0.3058,0.1738,0.6331,0.0717,0.2497,0.7034,0.3028,0.2682,0.1792
