Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6411,0.5003,0.7112,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
2,0.6403,0.5003,0.7141,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
3,0.6405,0.5002,0.7158,0.3914,0.7618,0.3914,0.2203,0.0055,0.0001,1.0000
4,0.6391,0.5021,0.7156,0.3916,0.7618,0.3916,0.2205,0.0102,0.0003,1.0000
5,0.6397,0.5010,0.7141,0.3919,0.6807,0.3919,0.2215,0.0139,0.0010,0.9998
6,0.6399,0.5009,0.7132,0.3919,0.5898,0.3919,0.2217,0.0073,0.0013,0.9992
7,0.6387,0.5025,0.7243,0.3925,0.5922,0.3925,0.2237,0.0113,0.0029,0.9983
8,0.6366,0.5030,0.7053,0.3925,0.5534,0.3925,0.2245,0.0058,0.0037,0.9970
9,0.6224,0.5045,0.6852,0.3941,0.5345,0.3941,0.2330,0.0038,0.0112,0.9896
10,0.5972,0.5064,0.6512,0.3942,0.5236,0.3942,0.2349,-0.0000,0.0130,0.9870
11,0.5762,0.5081,0.6261,0.3947,0.5310,0.3947,0.2363,0.0029,0.0142,0.9865
12,0.5600,0.5084,0.6095,0.3955,0.5343,0.3955,0.2393,0.0046,0.0168,0.9844
13,0.5465,0.5205,0.5905,0.6114,0.7109,0.6114,0.6031,0.3316,0.4425,0.8741
14,0.5453,0.5498,0.6141,0.3927,0.5602,0.3927,0.2252,0.0076,0.0042,0.9967
15,0.5522,0.5052,0.6032,0.3969,0.5280,0.3969,0.2471,0.0023,0.0242,0.9765
16,0.5431,0.5212,0.6055,0.3968,0.5316,0.3968,0.2457,0.0040,0.0227,0.9785
17,0.5322,0.6176,0.6046,0.3937,0.5679,0.3937,0.2287,0.0119,0.0071,0.9948
18,0.5277,0.6603,0.5847,0.6061,0.7163,0.6061,0.5951,0.3335,0.4237,0.8897
19,0.5256,0.6639,0.5726,0.6744,0.7296,0.6744,0.6758,0.4011,0.5732,0.8316
20,0.5208,0.6768,0.5742,0.6584,0.7267,0.6584,0.6579,0.3858,0.5359,0.8488
21,0.5204,0.6816,0.5749,0.6383,0.7253,0.6383,0.6340,0.3690,0.4879,0.8720
