Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.4909,0.7465,0.4164,0.7882,0.7871,0.7882,0.7866,0.9785,0.0000,0.6129,0.8494,0.6737
2,0.3838,0.8040,0.4179,0.7846,0.8029,0.7846,0.7687,0.9747,0.0161,0.4839,0.9522,0.5006
3,0.3545,0.8213,0.4146,0.8055,0.8045,0.8055,0.8039,0.9648,0.0484,0.5161,0.8642,0.6995
