epoch,beta,beta_event,lr,grad_norm,train_recon,train_kl,train_interv,train_total,train_aux_pres,train_aux_type,train_aux_prox,val_recon,val_kl,val_interv,val_total,val_aux_pres,val_aux_type,val_aux_prox,val_raw_kl,val_ref_elbo,pres_changed_frac,type_changed_frac
22,0.0,→hold,0.000275,0.0002,1.3714713781843322e-07,0.0,0.0,1.3714713781843322e-07,0.0,0.0,0.0,1.0001087352672744e-07,0.0,0.0,1.0001087352672744e-07,0.0,0.0,0.0,0.4819961903177626,0.4819962903286361,0.0,0.0
23,0.02,↑,0.000273,0.0002,1.3519428835841852e-07,0.0,0.0,1.3519428835841852e-07,0.0,0.0,0.0,9.316103461564924e-08,0.0,0.0,9.316103461564924e-08,0.0,0.0,0.0,0.7021639332841567,0.7021640264451914,0.0,0.0
24,0.0,↓collapse,0.000271,inf,5.6649869082892335e-05,0.00028753013164264875,0.0,0.00034418000267070564,0.0,0.0,0.0,4.209634441935126e-08,9.044704068069486e-06,0.0,9.086800433371862e-06,0.0,0.0,0.0,0.0004522352164038357,0.0004522773127482551,0.0,0.0
25,0.0,↓collapse,0.000268,0.0,3.758192930615137e-08,0.0,0.0,3.758192930615137e-08,0.0,0.0,0.0,2.1180194198319623e-08,0.0,0.0,2.1180194198319623e-08,0.0,0.0,0.0,0.004206984870765657,0.004207006050959855,0.0,0.0
26,0.0,↓collapse,0.000266,0.0,2.2479536663675713e-08,0.0,0.0,2.2479536663675713e-08,0.0,0.0,0.0,1.324455048615699e-08,0.0,0.0,1.324455048615699e-08,0.0,0.0,0.0,0.004235871169847205,0.004235884414397691,0.0,0.0
27,0.0,↓collapse,0.000264,0.0,1.5436504198405955e-08,0.0,0.0,1.5436504198405955e-08,0.0,0.0,0.0,8.700953081788436e-09,0.0,0.0,8.700953081788436e-09,0.0,0.0,0.0,0.004246326509521938,0.00424633521047502,0.0,0.0
28,0.0,↓collapse,0.000261,0.0,1.278979620739445e-08,0.0,0.0,1.278979620739445e-08,0.0,0.0,0.0,8.445578709732905e-09,0.0,0.0,8.445578709732905e-09,0.0,0.0,0.0,0.004296695483279153,0.004296703928857863,0.0,0.0
29,0.0,↓collapse,0.000259,0.0,1.7234296737197754e-08,0.0,0.0,1.7234296737197754e-08,0.0,0.0,0.0,2.000269853636921e-08,0.0,0.0,2.000269853636921e-08,0.0,0.0,0.0,0.0043609964347665,0.004361016437465037,0.0,0.0
30,0.0,↓collapse,0.000256,0.0001,4.3993789470656946e-08,0.0,0.0,4.3993789470656946e-08,0.0,0.0,0.0,4.4191152612565874e-08,0.0,0.0,4.4191152612565874e-08,0.0,0.0,0.0,0.004562604450951974,0.004562648642104586,0.0,0.0
31,0.0,↓collapse,0.000254,0.0001,7.706184183858702e-08,0.0,0.0,7.706184183858702e-08,0.0,0.0,0.0,7.741926596823793e-08,0.0,0.0,7.741926596823793e-08,0.0,0.0,0.0,0.005202034312750902,0.0052021117320168704,0.0,0.0
32,0.0,↓collapse,0.000251,0.0001,9.926636728884553e-08,0.0,0.0,9.926636728884553e-08,0.0,0.0,0.0,8.048456325975086e-08,0.0,0.0,8.048456325975086e-08,0.0,0.0,0.0,0.00665877323892967,0.00665885372349293,0.0,0.0
33,0.0,↓collapse,0.000248,0.0001,1.0664903207022937e-07,0.0,0.0,1.0664903207022937e-07,0.0,0.0,0.0,1.08279900442499e-07,0.0,0.0,1.08279900442499e-07,0.0,0.0,0.0,0.009685891086038777,0.009685999365939219,0.0,0.0
