epoch,train_pres_loss,train_type_loss,val_pres_acc,val_pres_f1,val_type_acc,val_type_f1,val_prox_loss,class_breakdown
0,0.6843546223681691,1.2683901390814865,0.543984931619032,0.38331929252477853,0.683985184005098,0.5556292732051393,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.8123, ""utility"": 0.0}"
1,0.684340930521282,1.1123896057630493,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
2,0.6843365077122685,1.029224886252806,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
3,0.6843333649594066,0.9868859421835638,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
4,0.6843305672535022,0.9675750452960651,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
5,0.684330000184399,0.9596775677892988,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
6,0.6843246156059747,0.9573341079030483,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
7,0.6843205401126076,0.9566319087797382,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
8,0.6843231111043052,0.9563780548663288,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
9,0.6843241102555219,0.9563686306295098,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
10,0.6843279205700931,0.956356598741043,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
11,0.6843149296449542,0.9563591272463848,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
12,0.6843217942335201,0.9564804421886028,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
13,0.6843260717433217,0.9563691405689015,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
14,0.6843242251336781,0.9564118640542443,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
15,0.6843213631826288,0.9561694203569815,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
16,0.6843184400285404,0.95619796917719,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
17,0.6843209914785768,0.9562680126267733,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
18,0.6843199207605375,0.9563090770817958,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
19,0.6843136392765804,0.9565238919121997,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
20,0.6843153274904897,0.9563088023126332,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
21,0.6843205684712189,0.9564220069498339,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
22,0.6843143076632675,0.956235456012937,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
23,0.6843203457787788,0.9563048620640613,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
24,0.6843172937219119,0.9563033811773808,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
25,0.6843211141424608,0.9563334816261146,0.543984931619032,0.38331929252477853,0.24649514099091924,0.09748911573587239,0.46550735610502736,"{""pedestrian"": 0.0, ""light"": 0.0, ""sport"": 0.0, ""utility"": 0.3955}"
