Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
29,0.8139,0.6711,0.9824,0.5906,0.6074,0.5906,0.5819,0.1570,0.9185,0.5146,0.4802,0.0858,0.6325,0.2505,0.6607,0.6086,0.4420,0.9946,0.8358,0.7981,0.5056
30,0.8107,0.6730,1.0235,0.5856,0.6250,0.5856,0.5842,0.0777,0.7235,0.3477,0.4460,0.1525,0.6285,0.5235,0.6133,0.7587,0.4019,0.9977,0.7158,0.6354,0.4861
31,0.7799,0.6857,0.9324,0.6159,0.6282,0.6159,0.6132,0.0676,0.8642,0.4790,0.6068,0.2272,0.7612,0.3724,0.6914,0.6110,0.4667,0.9969,0.8147,0.7091,0.6028
32,0.7740,0.6886,0.9234,0.6188,0.6383,0.6188,0.6152,0.0645,0.8049,0.4889,0.6491,0.0988,0.6979,0.4894,0.6204,0.6330,0.4716,0.9985,0.8081,0.7347,0.6250
33,0.7675,0.6917,0.9390,0.6151,0.6287,0.6151,0.6088,0.0412,0.8519,0.2983,0.5930,0.1593,0.7471,0.5487,0.6223,0.6657,0.4049,1.0000,0.8491,0.7112,0.5972
34,0.7654,0.6931,0.9352,0.6195,0.6269,0.6195,0.6133,0.0660,0.7679,0.3812,0.6637,0.1747,0.6937,0.2798,0.7631,0.6450,0.5333,0.9969,0.8515,0.7199,0.5778
35,0.7623,0.6934,0.9171,0.6218,0.6326,0.6218,0.6174,0.0723,0.8667,0.3669,0.6510,0.1562,0.6841,0.5065,0.6933,0.6573,0.4475,0.9977,0.8485,0.7178,0.6444
36,0.7592,0.6948,0.9290,0.6157,0.6307,0.6157,0.6143,0.0591,0.7605,0.3798,0.6210,0.2469,0.7629,0.5364,0.6018,0.6414,0.3636,0.9977,0.8515,0.6826,0.6972
37,0.7560,0.6969,0.9446,0.6132,0.6293,0.6132,0.6078,0.0909,0.8494,0.3422,0.6331,0.1056,0.7875,0.3853,0.6953,0.5858,0.6068,0.9985,0.7827,0.7255,0.6778
38,0.7544,0.6973,0.9524,0.6122,0.6191,0.6122,0.6037,0.0513,0.7704,0.3783,0.5510,0.1272,0.7411,0.4200,0.6921,0.6532,0.4444,0.9977,0.8696,0.7346,0.5444
39,0.7507,0.6994,0.9853,0.6020,0.6201,0.6020,0.5973,0.0528,0.7531,0.4677,0.4723,0.2272,0.7732,0.3363,0.6549,0.6158,0.5006,0.9977,0.7876,0.7412,0.5861
40,0.7320,0.7082,0.9334,0.6188,0.6312,0.6188,0.6133,0.0606,0.8420,0.3215,0.6003,0.1278,0.7358,0.5262,0.6652,0.6668,0.4648,0.9985,0.8310,0.7125,0.6694
41,0.7283,0.7084,0.9203,0.6239,0.6302,0.6239,0.6178,0.0629,0.8494,0.4222,0.5971,0.2210,0.7334,0.4820,0.6562,0.6869,0.3173,0.9977,0.8648,0.7023,0.6806
42,0.7255,0.7105,0.9487,0.6103,0.6254,0.6103,0.6034,0.0567,0.8889,0.3274,0.5260,0.1654,0.7604,0.5146,0.6248,0.6761,0.3889,0.9969,0.8238,0.7115,0.5750
43,0.7233,0.7115,0.9306,0.6199,0.6295,0.6199,0.6142,0.0505,0.8593,0.3565,0.6153,0.1698,0.7507,0.5153,0.6440,0.6926,0.3815,0.9969,0.8298,0.6715,0.6028
44,0.7226,0.7121,0.9158,0.6273,0.6357,0.6273,0.6251,0.1096,0.8593,0.3941,0.6467,0.2438,0.7242,0.4575,0.7087,0.6612,0.4253,0.9977,0.8395,0.6983,0.5972
45,0.7188,0.7134,0.9312,0.6225,0.6287,0.6225,0.6178,0.0785,0.8370,0.3689,0.6247,0.1901,0.7636,0.5112,0.6748,0.6558,0.3679,0.9977,0.8769,0.6963,0.5778
46,0.7177,0.7137,0.9435,0.6145,0.6315,0.6145,0.6098,0.0761,0.8494,0.3699,0.5896,0.1241,0.7683,0.5739,0.6204,0.6080,0.3944,0.9969,0.8316,0.7552,0.6694
47,0.7168,0.7159,0.9387,0.6182,0.6294,0.6182,0.6127,0.0567,0.8494,0.3506,0.5846,0.1698,0.7537,0.5548,0.6825,0.6653,0.3340,0.9969,0.8093,0.7218,0.6139
48,0.7130,0.7154,0.9392,0.6205,0.6342,0.6205,0.6160,0.0357,0.8272,0.3551,0.6153,0.1562,0.7165,0.5160,0.6415,0.6753,0.4444,0.9962,0.8280,0.7159,0.6806
49,0.7025,0.7213,0.9335,0.6248,0.6380,0.6248,0.6214,0.0505,0.8469,0.3980,0.5833,0.2253,0.7634,0.4860,0.6697,0.6834,0.4407,0.9962,0.8220,0.6896,0.6083
50,0.7016,0.7216,0.9376,0.6229,0.6276,0.6229,0.6167,0.0505,0.8148,0.3719,0.5981,0.2340,0.7499,0.4432,0.7298,0.6567,0.3932,0.9962,0.8395,0.7271,0.6028
