Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4978,0.7681,0.5352,0.7287,0.7752,0.7287,0.7300,0.8757,0.6306
2,0.4762,0.7824,0.5242,0.7422,0.7802,0.7422,0.7440,0.8667,0.6589
3,0.4646,0.7881,0.6006,0.7011,0.7812,0.7011,0.6983,0.9240,0.5522
4,0.4597,0.7903,0.6166,0.7310,0.7835,0.7310,0.7317,0.8938,0.6222
5,0.4566,0.7915,0.5489,0.7416,0.7800,0.7416,0.7434,0.8673,0.6576
6,0.4539,0.7927,0.5435,0.7449,0.7858,0.7449,0.7466,0.8783,0.6558
7,0.4515,0.7936,0.5067,0.7599,0.7862,0.7599,0.7622,0.8493,0.7001
8,0.4494,0.7945,0.5494,0.7444,0.7833,0.7444,0.7462,0.8717,0.6594
9,0.4473,0.7953,0.5170,0.7532,0.7809,0.7532,0.7556,0.8460,0.6913
10,0.4455,0.7961,0.5219,0.7605,0.7827,0.7605,0.7629,0.8348,0.7109
11,0.4440,0.7966,0.5278,0.7542,0.7835,0.7542,0.7565,0.8528,0.6884
12,0.4424,0.7973,0.5205,0.7527,0.7817,0.7527,0.7549,0.8503,0.6875
13,0.4412,0.7977,0.5411,0.7491,0.7791,0.7491,0.7513,0.8494,0.6821
14,0.4402,0.7979,0.5283,0.7520,0.7775,0.7520,0.7544,0.8368,0.6954
15,0.4359,0.7994,0.5476,0.7508,0.7794,0.7508,0.7531,0.8465,0.6869
16,0.4351,0.7999,0.5532,0.7490,0.7796,0.7490,0.7513,0.8509,0.6810
17,0.4345,0.8000,0.5670,0.7456,0.7803,0.7456,0.7476,0.8606,0.6687
18,0.4336,0.8004,0.5830,0.7395,0.7801,0.7395,0.7413,0.8713,0.6515
