Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7214,0.6369,0.6002,0.7145,0.7822,0.7145,0.6574,0.8828,0.0000,0.0000,0.9978,0.2503
2,0.5260,0.7238,0.4854,0.7347,0.7312,0.7347,0.7176,0.9648,0.0000,0.0000,0.8919,0.4659
3,0.4348,0.7820,0.4341,0.7813,0.7778,0.7813,0.7716,0.9487,0.0000,0.0000,0.9002,0.5818
