Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,9.5753,0.4852,1.0548,0.5008,0.4190,0.5008,0.3937,0.0000,0.0000,0.9110,0.1279
2,0.8595,0.5468,1.0709,0.5214,0.5127,0.5214,0.3894,0.0000,0.0000,0.9813,0.0844
3,0.8080,0.5746,1.0664,0.5467,0.6320,0.5467,0.4322,0.0003,0.0000,0.9867,0.1511
4,0.8682,0.5525,1.1919,0.5021,0.2521,0.5021,0.3357,0.0000,0.0000,1.0000,0.0000
5,0.8853,0.5403,1.2057,0.5021,0.2521,0.5021,0.3357,0.0000,0.0000,1.0000,0.0000
