epoch,beta,beta_event,lr,grad_norm,train_recon,train_kl,train_interv,train_total,train_aux_pres,train_aux_type,train_aux_prox,val_recon,val_kl,val_interv,val_total,val_aux_pres,val_aux_type,val_aux_prox,val_raw_kl,val_ref_elbo,pres_changed_frac,type_changed_frac
0,0.02,↑,0.0003,8415.2388,0.009333184713425187,0.0,0.0,0.45947428216665853,0.6428001254151909,0.852549970975686,0.015360493605625835,0.005626019922357689,0.0,0.0,0.4447583254214709,0.6244078385151499,0.8012349016782714,0.11439467958227648,135.24420315657204,135.2498291764944,0.0,0.0
1,0.04,↑,0.0003,inf,0.010897575932034812,0.08311533477657285,0.0,0.6393362258419846,0.6715883834021432,1.0762171663763203,0.2098162920024746,0.003400873724083469,0.09213193030497892,0.0,0.526423433023255,0.6311773745025077,0.7891218789466997,0.04800832891700471,4.606596608472064,4.609997482196148,0.0,0.0
2,0.06,↑,0.0003,2078.6393,0.0028188730662616042,0.07719815791749851,0.0,0.664690357575685,0.6791643545225069,1.1520758076663657,0.3530125721708521,0.0024414149617465832,0.08804582733267206,0.0,0.5527709222784857,0.6344507466244503,0.8835065565942749,0.06896469989655221,2.201145748539669,2.2035871635014153,0.0,0.0
3,0.08,↑,0.000299,3170.9863,0.002171742868331539,0.07323635233429088,0.0,0.6913002467258668,0.6879914164027094,1.2100439819938693,0.4648151176058369,0.002095187608648576,0.07882979734823471,0.0,0.5666821400324503,0.6476428989714723,0.9342981232860224,0.11174830111364524,1.3138299896949674,1.315925177303616,0.0,0.0
4,0.1,↑,0.000299,4787.1568,0.0018417352152327116,0.06812292593188617,0.0,0.7093007061388585,0.6949676233968693,1.2513096569936513,0.5545283721638964,0.0018743491100764462,0.07942787398834054,0.0,0.580986997218636,0.6508058668152104,0.9685791575811743,0.13869248551687574,0.9928484460929545,0.994722795203031,0.0,0.0
5,0.12,↑,0.000298,6177.787,0.001638423276609576,0.0633368654200783,0.0,0.7231203748034193,0.7005472899515391,1.283802233113871,0.6284020279909109,0.0017186707184778723,0.07235042282902612,0.0,0.5798870580104308,0.6564568994733376,0.9698947917639724,0.17912439273564312,0.7235042171143904,0.7252228878328683,0.0,0.0
6,0.14,↑,0.000298,11115.9103,0.0014832380569431108,0.058808023814773146,0.0,0.7329258838773289,0.7044739596255414,1.3081229573204405,0.6885552149830443,0.0015544597581464313,0.06630584738421731,0.0,0.5854412581377882,0.6584989405502149,0.9943008071523372,0.21741006532456816,0.5525487399985635,0.5541031997567099,0.0,0.0
7,0.14,→hold,0.000297,13233.2052,0.001383067463883461,0.054846020762151455,0.0,0.7411600574786529,0.7081784850075131,1.3280573391811157,0.7406019651012503,0.0014446136457429125,0.06472675762767714,0.0,0.5901607623914393,0.6606724161684998,1.004857096730209,0.24330517704167018,0.46233398115974134,0.4637785948054842,0.0,0.0
8,0.14,→hold,0.000296,24684.0872,0.0012933919502591544,0.054853245806255384,0.0,0.7404841754343603,0.7075372806359163,1.3270669783348645,0.7395623328881863,0.0013637102594243257,0.06103467402177128,0.0,0.589905713571281,0.6619105422642173,1.0138770286145249,0.24771039569523276,0.43596195693059664,0.437325667190021,0.0,0.0
9,0.14,→hold,0.000295,33000.028,0.0012557687940382403,0.054874749649396704,0.0,0.7397933774696284,0.7073045126287452,1.3248056089723266,0.7402979637637283,0.0013184219537723083,0.06315570798649536,0.0,0.5890202035870009,0.6627876315175033,1.0021222723208791,0.2507308150482614,0.4511121959705663,0.4524306179243386,0.0,0.0
10,0.14,→hold,0.000294,49334.2643,0.0012071332103044633,0.055052279503572554,0.0,0.7397539550091797,0.7069659451901654,1.324595721046646,0.7402601665232604,0.001300800602591589,0.06015798472231481,0.0,0.5874129197582966,0.6616720388817593,1.0079299587059796,0.2507351819365247,0.429699890557828,0.43100069116041956,0.0,0.0
11,0.14,→hold,0.000293,79373.117,0.001180261957108394,0.05521176028432268,0.0,0.7395418338961416,0.7066255502886586,1.3236507980338423,0.7406688006409319,0.0012441530858726825,0.06584774430205183,0.0,0.5921368610447015,0.6598521480715371,1.007807452746523,0.24747063451242157,0.4703410274190147,0.47158518050488735,0.0,0.0
12,0.14,→hold,0.000292,98471.16,0.0011423566070228042,0.05532769160869318,0.0,0.7392629370544896,0.706455685359575,1.3225742121279498,0.7408389318040955,0.0012313565378914003,0.0673320536630425,0.0,0.5920912875998311,0.6614962162041083,1.0013155459873075,0.24684330018434097,0.48094324010416745,0.48217459664205886,0.0,0.0
