epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_align,train_stab,train_interv_inv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_align,val_stab,val_interv_inv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,11.256987490339908,0.0,1331.2552832791905,0.049043542178191554,0.0011037979074921124,0.0016626659854633097,13.120033598802761,0.8504,0.7414,0.1662,0.4652,3.2209116911991336,1468.2446711816829,1468.2446711816829,0.017886067966394352,0.0,0.0004619321010647003,1473.3451265937838,0.8704,0.7705,0.1492,0.4254,1471.465582872882
1,0.04,↑,3.3886354980354536,17.863311580269638,893.1656000011695,0.019285778656691135,0.06433545693436833,0.0009722417619910292,23.072689732534442,0.8605,0.7552,0.1598,0.4695,3.174810699054173,790.7759845948323,790.7759845948323,0.011747566067907975,0.17545094289433905,0.0008605438409558622,795.8455781482514,0.8704,0.7705,0.1492,0.4254,793.9507952938865
2,0.06,↑,3.291538857271571,8.528991994029747,213.22480340603582,0.1479194722015656,0.17317078987549164,0.006249589255584326,13.788545974571548,0.8605,0.7552,0.1598,0.4695,2.6214408420381092,28.631885891868954,28.631885891868954,0.022632393284471003,0.32263567327678977,0.0029228002939663536,33.15692440875165,0.8704,0.7705,0.1492,0.4254,31.253326733907063
3,0.08,↑,2.8118926422324724,1.269887691629147,21.164795335324225,0.02794601749405711,0.27285585357043557,0.0022263972000860256,5.918114137935067,0.8605,0.7552,0.1598,0.4695,1.6455320460455758,22.060807834972035,22.060807834972035,0.032689812867317626,0.30167978708491183,0.002621812436495831,25.614484803501146,0.8704,0.7705,0.1492,0.4254,23.706339881017612
4,0.1,↑,1.7766212407700317,1.3892070341966822,17.36508829607935,0.02201551765225783,0.257897855189746,0.0019408468256040872,4.988903612148262,0.8605,0.7552,0.1598,0.4695,1.267431113369021,15.277033120522768,15.277033120522768,0.014281677626460404,0.1712780444201453,0.0019269053863555,18.416803937969785,0.8704,0.7705,0.1492,0.4254,16.544464233891787
5,0.12000000000000001,↑,1.7017557525349234,1.3320172121424876,13.32017189299989,0.021317622693489767,0.18480339810519875,0.0016324159064648037,4.843853163576411,0.8605,0.7552,0.1598,0.4695,1.2747418116697502,12.386697191180605,12.386697191180605,0.04220328197786302,0.1590787572262091,0.0017756203152199006,15.557800222784925,0.8704,0.7705,0.1492,0.4254,13.661439002850356
6,0.14,↑,1.6823294662429902,1.33124082559597,11.093673784861307,0.02126795271311156,0.14873967918450248,0.0015661627920009866,4.813943685885675,0.8605,0.7552,0.1598,0.4695,1.201870249721395,10.25082439158386,10.25082439158386,0.02275138283833797,0.1384900938477609,0.0017334492529391661,13.32137463309548,0.8704,0.7705,0.1492,0.4254,11.452694641305255
7,0.16,↑,1.6319534099030637,1.3132115513978604,9.380082455937734,0.024661728533397535,0.13260140457374606,0.0016555343948382727,4.739998016243209,0.8605,0.7552,0.1598,0.4695,1.1734913365665451,8.676089656301391,8.676089656301391,0.023677919934870617,0.11422986588823847,0.0017035336864132482,11.71076437301966,0.8704,0.7705,0.1492,0.4254,9.849580992867937
8,0.18,↑,1.6104997720547065,1.2969493718918212,8.10593375017543,0.02650574670580333,0.1223569596063591,0.0017225886027267326,4.692718938724723,0.8605,0.7552,0.1598,0.4695,1.2225684678399718,7.840522704186378,7.840522704186378,0.0207800967941359,0.13278118280685824,0.002025726533019149,10.908609055853509,0.8704,0.7705,0.1492,0.4254,9.063091172026349
9,0.19999999999999998,↑,1.6043241273857163,1.2600943449728503,7.000523865865376,0.029835158035516025,0.12176006657634666,0.0021156335602274643,4.636950001745167,0.8605,0.7552,0.1598,0.4695,1.1507111338825968,6.477807255534382,6.477807255534382,0.029517551541360685,0.1163754238872043,0.002531694245546879,9.459446853373473,0.8704,0.7705,0.1492,0.4254,7.628518389416979
10,0.21999999999999997,↑,1.5783195365688758,1.1976951661937965,5.988475710474803,0.04208531080338056,0.12499431796862694,0.002696178033585454,4.533230740438678,0.8605,0.7552,0.1598,0.4695,1.233544088029242,5.452058455644748,5.452058455644748,0.03412926387348216,0.1038064934893862,0.0029453306057736343,8.493773390204359,0.8704,0.7705,0.1492,0.4254,6.68560254367399
11,0.23999999999999996,↑,1.5523717823142777,1.1512889687886496,5.233131697649013,0.053774789546778105,0.1267580337777823,0.003517016687313329,4.436025996979125,0.8605,0.7552,0.1686,0.4722,1.1473091285982173,4.975405259565874,4.975405259565874,0.06591367797353567,0.12020909489491285,0.004722061041879641,7.928924224077365,0.8704,0.7705,0.1707,0.4337,6.122714388164091
12,0.25999999999999995,↑,1.5453528982436586,1.1296848115806808,4.707020150829932,0.06529539232839367,0.13029347021065787,0.004985110710157516,4.371503174947407,0.8605,0.7552,0.201,0.4823,1.105313864621249,4.480643553135199,4.480643553135199,0.07670375095172362,0.1405986374268284,0.007343262794842839,7.376434836036715,0.8704,0.7705,0.313,0.5161,5.585957417756448
13,0.27999999999999997,↑,1.5060351667289962,1.0633111112845872,4.089658278333927,0.08984679228620615,0.13503786973253695,0.007405720747906915,4.23243672776365,0.8604,0.7552,0.3399,0.5208,1.201020878888828,3.702425904088206,3.702425904088206,0.09615736332161602,0.11332669879967,0.008072820585825808,6.673150324718261,0.8704,0.7705,0.2957,0.5009,4.903446782977034
14,0.3,↑,1.449668262961382,0.9827758068809966,3.5099135787187223,0.12259580795457976,0.1363901532160308,0.01108320933002644,4.062999516618466,0.8615,0.7581,0.4483,0.5639,1.1057501853286447,3.204212317735086,3.204212317735086,0.11598147018066732,0.14003456112207013,0.009551225476031438,6.135796144411161,0.8704,0.7705,0.253,0.4729,4.309962503063731
15,0.32,↑,1.4629090461902277,0.8970947201380473,2.9903156103488215,0.144021609470159,0.15226150991138585,0.014042326283758271,3.9480267284873003,0.8639,0.7636,0.506,0.5919,1.1215844389164087,2.8824323131924583,2.8824323131924583,0.12742128839224448,0.17557267007696165,0.015650438681019074,5.85990148808533,0.8704,0.7705,0.2632,0.4776,4.004016752108867
16,0.34,↑,1.4543452145810614,0.8320227286772813,2.6000710790028827,0.1665064021677314,0.1686907186033483,0.016925136836435265,3.84223943727459,0.8658,0.768,0.5425,0.6098,1.1937379277113713,2.4768412918239444,2.4768412918239444,0.19481653360512866,0.1913126688692477,0.012870778367971574,5.560086881959593,0.8708,0.7713,0.3197,0.5144,3.6705792195353157
17,0.36000000000000004,↑,1.4765859149887177,0.7815388436802847,2.298643632706054,0.17816596670957383,0.1841965429261773,0.018579594116144908,3.7771811273997415,0.8688,0.7742,0.5887,0.6325,1.3337293447870198,2.1764809873713045,2.1764809873713045,0.14711093080121201,0.1720427301716366,0.012408270452219945,5.343419636482801,0.8824,0.7952,0.3942,0.5398,3.5102103321583242
18,0.38000000000000006,↑,1.4768509814839164,0.7058210392198163,1.9606139175906152,0.16312460016883062,0.24815600314540062,0.018002255818622553,3.6443139044824475,0.8721,0.7805,0.6301,0.6568,1.1745288642969998,1.7208782429302925,1.7208782429302925,0.1451022360167462,0.24986101351517104,0.016355230720931445,4.71117302452847,0.8745,0.779,0.3443,0.5205,2.8954071072272924
19,0.4000000000000001,↑,1.4510357559798006,0.6193152693931214,1.6297770460208734,0.1566069259882687,0.25319878336733687,0.018044213687409896,3.47832157283486,0.8761,0.7883,0.6672,0.6806,1.151787114091766,1.5629195124555977,1.5629195124555977,0.1501265431379343,0.26066184816357896,0.018239066645793327,4.615112858933288,0.8785,0.787,0.4291,0.5232,2.714706626547364
20,0.4200000000000001,↑,1.4775854694629145,0.5880627582173148,1.4701568781972645,0.15405329207995694,0.24779283296383783,0.017900866865665613,3.4300819628252954,0.8814,0.7988,0.6951,0.6967,1.1901371956387639,1.3418106939885523,1.3418106939885523,0.13266265618078638,0.26727444328593486,0.01271575948352486,4.32859468460083,0.8832,0.7965,0.4264,0.5462,2.5319478896273164
21,0.4400000000000001,↑,1.4929663937962698,0.5533823199971707,1.317576993725257,0.12988802079490558,0.28724627851726053,0.017263395128448208,3.3545959749621543,0.8843,0.8046,0.7145,0.7117,1.262829637888706,1.2159757374168991,1.2159757374168991,0.11129989857216935,0.26318323389663323,0.012669840747958202,4.313873670833967,0.9012,0.8337,0.4111,0.5562,2.478805375305605
22,0.46000000000000013,↑,1.486215563591369,0.5379625716252241,1.2226422118569562,0.12203778330080524,0.3044609061615196,0.016543114467518414,3.296100384318186,0.8876,0.8113,0.7324,0.724,1.1877470003578054,1.2244800362752113,1.2244800362752113,0.12340396284670024,0.33989374929821337,0.015413427151925056,4.243154036534297,0.8965,0.8242,0.4136,0.5454,2.4122270366330167
23,0.48000000000000015,↑,1.459189876396499,0.5493200477368817,1.1941739944640748,0.12162393489462173,0.3128110235679649,0.01656283292874783,3.2457745252255195,0.8917,0.8194,0.7496,0.7381,1.1378023645062467,1.1528151024987687,1.1528151024987687,0.12855743239452314,0.2969752300482292,0.014942681639620559,4.079193987371601,0.8956,0.8218,0.4133,0.5717,2.2906174670050152
24,0.5000000000000001,↑,1.4601005729800927,0.5580673848797462,1.162640408413139,0.11909289577763951,0.3130203384125304,0.016340506988058903,3.232435884018858,0.8946,0.8254,0.753,0.7407,1.1417264122983595,1.1118528357831947,1.1118528357831947,0.12142845201285886,0.31189717603968337,0.012675345603183105,4.086447718855623,0.8919,0.814,0.4371,0.5616,2.253579248081554
25,0.5200000000000001,↑,1.4682144554789194,0.5639352538985407,1.1278705077970814,0.11867603022538259,0.31070261742183547,0.016104127883821904,3.222725901917783,0.8968,0.8298,0.761,0.7474,1.1836282608312962,1.1053577720860899,1.1053577720860899,0.12291053279395743,0.30306990276941487,0.012248903184371206,4.048713502429781,0.9012,0.8339,0.4282,0.5601,2.288986032917386
26,0.5400000000000001,↑,1.4730105028894847,0.5765088009620141,1.1086708110963512,0.11690772837864424,0.30601851535057595,0.01588473405276319,3.218033088181547,0.8993,0.8348,0.7684,0.7531,1.2714993819529876,1.054449921820587,1.054449921820587,0.12189272167040156,0.2522385784170844,0.011696748960626138,4.076800632270384,0.9049,0.8431,0.4236,0.5624,2.325949303773575
27,0.5600000000000002,↑,1.4887230790303854,0.5756419097235103,1.0660034984885576,0.11552899040861758,0.2978188721184245,0.015539789170829836,3.208882501739228,0.9016,0.8393,0.7771,0.7616,1.169323483844856,1.0316193526957458,1.0316193526957458,0.12306925638284517,0.28937467774658493,0.015805870488092497,3.9753132846964387,0.8982,0.8309,0.4464,0.5614,2.2009428365406016
28,0.5800000000000002,↑,1.502716421938228,0.584132447678172,1.0430936517115839,0.11411414199068161,0.2939486433824379,0.01524179396080132,3.212806998612638,0.9018,0.8401,0.7795,0.7629,1.1762098223616035,1.0248199992881708,1.0248199992881708,0.11389290631720514,0.29269067781828184,0.013891379101992105,4.015637850864625,0.8983,0.828,0.3771,0.5407,2.201029821649774
29,0.6000000000000002,↑,1.5108953113327483,0.5920281515863841,1.0207382239267497,0.11213668392090026,0.28993974231674285,0.014990302074901358,3.204423046683123,0.9035,0.8434,0.7905,0.7733,1.1739987589064098,0.9956236218477225,0.9956236218477225,0.11470054830243061,0.2975853275491562,0.015152605722186628,3.8956411896329937,0.9074,0.8484,0.4532,0.5656,2.169622380754132
30,0.6200000000000002,↑,1.5298494647362988,0.5945188851056699,0.9908647673572609,0.10962192030723937,0.28361559997418684,0.014619531824872523,3.2064676721652825,0.9053,0.8471,0.7938,0.7766,1.1922422020466297,0.9536193647941986,0.9536193647941986,0.12827912016541926,0.27769778378598103,0.013462848104617167,3.956009529369734,0.9078,0.8504,0.4462,0.5535,2.1458615668408285
31,0.6400000000000002,↑,1.5315215390599417,0.5980315469696136,0.9645670013513393,0.10771028711767254,0.2796551113357087,0.014452221781617688,3.1978381156921385,0.9067,0.8499,0.7968,0.7793,1.2130260054683273,0.90074461930758,0.90074461930758,0.10998284853833579,0.262549338015643,0.013327643320617545,3.9130792235915277,0.9085,0.8498,0.4251,0.5581,2.113770624775907
32,0.6600000000000003,↑,1.5489555921383247,0.6043295488386097,0.9442649413725573,0.10644364854889715,0.2760625185545333,0.014199456469919868,3.207740331124403,0.9078,0.852,0.8006,0.7834,1.214366535603742,0.9262137025981755,0.9262137025981755,0.10895189941251948,0.2907769339425223,0.013234474736535962,3.965150037369171,0.9055,0.8442,0.4542,0.5601,2.1405802382019177
33,0.6800000000000003,↑,1.5629530509788834,0.60806722533917,0.9213139421211746,0.1044750241640799,0.2672247142313483,0.013989990045076716,3.209320214836897,0.9077,0.8523,0.805,0.7873,1.2301165278339798,0.879114452894632,0.879114452894632,0.11255546536667523,0.2556189196224595,0.012190499005323171,3.8762926332878345,0.9079,0.8513,0.4554,0.554,2.109230980728612
34,0.7000000000000003,↑,1.572730639451992,0.612090277671814,0.9001327514648437,0.10190855217372585,0.26158569510468466,0.013712912608317272,3.2053942543303897,0.91,0.8562,0.8088,0.7916,1.2333009655857499,0.8801158811106826,0.8801158811106826,0.10992428244321377,0.26007044692705206,0.011227047544585549,3.8423378044392638,0.9068,0.8507,0.442,0.5711,2.1134168466964325
