Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9231,0.5531,0.7694,0.5842,0.5396,0.5842,0.5602,0.9157,0.5761,0.0000,0.6858,0.5625
2,0.7116,0.6273,0.6908,0.6413,0.5957,0.6413,0.5961,0.9900,0.3838,0.0000,0.8951,0.4580
3,0.6566,0.6718,0.6661,0.6642,0.6562,0.6642,0.6473,0.9885,0.4141,0.1361,0.7791,0.6569
4,0.6239,0.6941,0.6372,0.6834,0.6853,0.6834,0.6631,0.9862,0.3570,0.1748,0.8445,0.6196
5,0.6006,0.7085,0.6067,0.7024,0.7088,0.7024,0.6905,0.9847,0.4392,0.3258,0.8558,0.6039
