Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4632,0.7812,0.4900,0.7747,0.7837,0.7747,0.7766,0.7910,0.7638
2,0.4307,0.7975,0.4844,0.7700,0.7764,0.7700,0.7717,0.7692,0.7706
3,0.4241,0.8010,0.4869,0.7713,0.7738,0.7713,0.7722,0.7408,0.7917
4,0.4193,0.8029,0.4872,0.7790,0.7786,0.7790,0.7788,0.7191,0.8190
5,0.4164,0.8043,0.4904,0.7773,0.7808,0.7773,0.7784,0.7568,0.7911
6,0.4147,0.8052,0.5020,0.7770,0.7804,0.7770,0.7781,0.7559,0.7911
7,0.4133,0.8058,0.4976,0.7736,0.7728,0.7736,0.7731,0.7060,0.8187
8,0.4114,0.8067,0.5287,0.7757,0.7769,0.7757,0.7762,0.7342,0.8034
9,0.4039,0.8096,0.5146,0.7754,0.7760,0.7754,0.7756,0.7272,0.8076
10,0.4027,0.8102,0.5038,0.7742,0.7805,0.7742,0.7758,0.7743,0.7741
11,0.4021,0.8104,0.5131,0.7733,0.7733,0.7733,0.7733,0.7162,0.8115
12,0.4010,0.8108,0.5149,0.7732,0.7774,0.7732,0.7745,0.7577,0.7835
