Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,14.6001,0.4984,1.0928,0.4941,0.4087,0.4941,0.3485,0.0667,0.0003,0.0000,0.9849,0.0366
2,1.0135,0.5148,1.0342,0.5084,0.4334,0.5084,0.3612,0.5341,0.0000,0.0000,0.9924,0.0273
3,0.9962,0.5152,1.0212,0.5067,0.3873,0.5067,0.3588,0.7172,0.0000,0.0000,0.9820,0.0215
4,1.0230,0.5126,1.1071,0.4881,0.5466,0.4881,0.3210,0.0000,0.0000,0.0000,1.0000,0.0020
5,1.1339,0.5076,1.2172,0.4875,0.5670,0.4875,0.3196,0.0000,0.0000,0.0000,1.0000,0.0001
