Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,3.3285,0.9059,0.1174,0.9798
2,0.2660,0.9251,0.3534,0.9643
3,0.4800,0.7502,0.4250,0.9644
4,0.4845,0.7503,0.4353,0.9644
5,0.4768,0.7506,0.4355,0.9644
6,0.4772,0.7502,0.4266,0.9644
7,0.4763,0.7510,0.4289,0.9644
8,0.4765,0.7509,0.4320,0.9644
9,0.4773,0.7500,0.4302,0.9644
10,0.4768,0.7506,0.4395,0.9644
