Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9312,0.5165,1.1351,0.4717,0.6303,0.4717,0.5070,0.5856,0.6200,0.3847,0.5077
2,0.8170,0.5896,1.1484,0.4799,0.6196,0.4799,0.5152,0.5662,0.5965,0.4684,0.4409
3,0.7859,0.6058,1.0545,0.5277,0.6151,0.5277,0.5495,0.4800,0.6279,0.4651,0.5906
4,0.7663,0.6146,1.1013,0.5162,0.6355,0.5162,0.5442,0.5483,0.6082,0.4339,0.5831
5,0.7499,0.6216,1.1386,0.5267,0.6207,0.5267,0.5529,0.5350,0.5965,0.4936,0.5465
6,0.7379,0.6273,1.1754,0.5239,0.6107,0.5239,0.5486,0.5458,0.5842,0.4992,0.5324
7,0.7285,0.6311,1.1491,0.5307,0.6148,0.5307,0.5522,0.5523,0.5800,0.4755,0.5786
8,0.7186,0.6348,1.1697,0.5323,0.6193,0.5323,0.5536,0.5333,0.6064,0.4686,0.5899
9,0.7107,0.6376,1.2752,0.5137,0.6282,0.5137,0.5438,0.5598,0.6072,0.4629,0.5384
10,0.7051,0.6399,1.2986,0.5354,0.6231,0.5354,0.5564,0.5352,0.6101,0.4669,0.5988
11,0.6983,0.6420,1.4589,0.5478,0.6074,0.5478,0.5648,0.4633,0.6080,0.5198,0.5893
12,0.6930,0.6442,1.3620,0.5227,0.6179,0.5227,0.5443,0.5221,0.6200,0.4448,0.5919
13,0.6884,0.6463,1.5512,0.5189,0.6107,0.5189,0.5401,0.5508,0.6045,0.4455,0.5766
14,0.6831,0.6479,1.5627,0.5275,0.6158,0.5275,0.5464,0.5431,0.6273,0.4433,0.5991
15,0.6796,0.6487,1.5402,0.5302,0.5994,0.5302,0.5492,0.4962,0.6015,0.4965,0.5621
16,0.6427,0.6633,1.9863,0.5449,0.6042,0.5449,0.5624,0.4261,0.6480,0.5399,0.5573
17,0.6305,0.6678,1.9946,0.5388,0.6154,0.5388,0.5584,0.4892,0.6333,0.4886,0.5889
18,0.6257,0.6694,2.0694,0.5462,0.6095,0.5462,0.5638,0.4275,0.6530,0.5198,0.5836
19,0.6214,0.6708,2.3444,0.5305,0.6163,0.5305,0.5524,0.5148,0.6279,0.4762,0.5754
