Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6035,0.5536,0.6900,0.4619,0.6136,0.4619,0.3969,0.1129,0.1777,0.9039
2,0.5845,0.5789,0.6767,0.5139,0.6144,0.5139,0.4929,0.1495,0.3199,0.8156
3,0.5758,0.5816,0.6891,0.4716,0.6152,0.4716,0.4160,0.1219,0.2021,0.8907
4,0.5696,0.5854,0.6983,0.4661,0.6096,0.4661,0.4072,0.1124,0.1922,0.8920
5,0.5657,0.5890,0.6889,0.4723,0.6174,0.4723,0.4164,0.1245,0.2019,0.8928
6,0.5644,0.5919,0.6933,0.4980,0.6188,0.4980,0.4640,0.1445,0.2695,0.8535
7,0.5580,0.5995,0.7023,0.4859,0.6183,0.4859,0.4423,0.1355,0.2373,0.8726
8,0.5564,0.6012,0.7007,0.4644,0.6093,0.4644,0.4038,0.1108,0.1879,0.8944
9,0.5539,0.6046,0.6857,0.5011,0.6165,0.5011,0.4703,0.1439,0.2806,0.8439
10,0.5524,0.6070,0.6884,0.4876,0.6079,0.4876,0.4500,0.1256,0.2534,0.8518
11,0.5479,0.6122,0.6997,0.4751,0.6147,0.4751,0.4231,0.1240,0.2117,0.8846
12,0.5483,0.6119,0.6993,0.4809,0.6153,0.4809,0.4340,0.1288,0.2267,0.8761
13,0.5471,0.6135,0.6955,0.4908,0.6174,0.4908,0.4516,0.1380,0.2513,0.8632
14,0.5450,0.6166,0.7078,0.4782,0.6147,0.4782,0.4292,0.1262,0.2202,0.8794
15,0.5459,0.6148,0.6976,0.4902,0.6167,0.4902,0.4509,0.1369,0.2505,0.8630
16,0.5440,0.6182,0.6956,0.4952,0.6163,0.4952,0.4600,0.1398,0.2646,0.8537
17,0.5429,0.6191,0.7039,0.4790,0.6151,0.4790,0.4304,0.1272,0.2218,0.8789
