Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.4292,0.8086,0.4561,0.8052,0.8108,0.8052,0.7978,0.9266,0.6159
2,0.4146,0.8145,0.4508,0.8079,0.8132,0.8079,0.8008,0.9266,0.6227
3,0.4097,0.8165,0.4836,0.7895,0.8094,0.7895,0.7749,0.9566,0.5287
4,0.4067,0.8175,0.4612,0.8018,0.8089,0.8018,0.7935,0.9303,0.6015
5,0.4043,0.8184,0.4540,0.8020,0.8046,0.8020,0.7959,0.9122,0.6301
6,0.4013,0.8197,0.4593,0.8042,0.8090,0.8042,0.7970,0.9230,0.6188
7,0.3938,0.8223,0.4658,0.7957,0.8073,0.7957,0.7848,0.9410,0.5690
8,0.3900,0.8238,0.4668,0.7959,0.8053,0.7959,0.7860,0.9350,0.5791
9,0.3860,0.8255,0.4801,0.7946,0.8041,0.7946,0.7846,0.9347,0.5762
10,0.3818,0.8274,0.4721,0.7980,0.8065,0.7980,0.7887,0.9332,0.5872
