epoch,train_total,train_pres,train_type,train_inst,train_recon,train_tc_cross,train_causal,val_total,val_pres,val_type,val_inst,val_recon,val_tc_cross,val_causal,probe_pres_acc,probe_pres_f1,probe_type_acc,probe_type_f1,probe_inst_acc,probe_inst_f1,detection_auc
0,6.600571975708008,0.678432469367981,1.3117355990409851,2.438762996196747,7.320582556724548,0.24298885092139244,0.12784703619778157,3.9532140719890596,0.6749333336949348,0.6201040744781494,1.5216461730003357,3.884008078575134,0.33781947880983354,0.12802559562027455,0.581875,0.46158797823540004,0.701875,0.824825560044069,0.71375,0.8329686360320934,0.7111251002167651
1,5.609850363731384,0.6610887706279754,1.2289442610740662,2.2296242094039918,1.4077250999212265,0.2975190961360931,0.12047636181116105,3.5990199029445646,0.6790182381868363,0.6530381095409393,1.3335313725471496,1.171266388297081,0.3624915459752083,0.16326742209494113,,,,,,,
2,5.366156287193299,0.6595488655567169,1.1895851492881775,2.1450498449802398,0.7519424390792847,0.3116691029071808,0.10719301633536815,3.845813075304031,0.6752107572555542,0.7009913301467896,1.490967981815338,0.9338276904821395,0.3871106414496899,0.18426889672875404,,,,,,,
3,5.328892140388489,0.649670352935791,1.1846432465314864,2.1487800216674806,0.6486332404613495,0.3454899361729622,0.0962918969243765,4.930859438180923,0.6684909957647324,1.095441792011261,1.897114496231079,0.8096681454777718,0.4054832848906517,0.09340351555496454,,,,,,,
4,5.210071444511414,0.6491108709573745,1.157582620382309,2.0922193706035612,0.5960697770118714,0.3322721964120865,0.09396902866661548,4.097907968759537,0.6652498549222946,0.8951346635818481,1.4437144386768341,0.5801647406816482,0.3886872924864292,0.14065788313746452,,,,,,,
5,5.2061571550369266,0.6501013040542603,1.1679961693286895,2.08339564204216,0.5534248653054238,0.3376124721765518,0.08132537942379713,3.3529122269153593,0.624547501206398,0.643093285560608,1.2099306380748749,0.5588160559535027,0.3990882016718388,0.17636592440307142,0.65421875,0.5919641713761455,0.51,0.6754966887417219,0.01734375,0.034096144985409305,0.8649463036097831
6,5.135433025360108,0.6445637917518616,1.1474385076761247,2.0547620737552643,0.541998236477375,0.32369555681943896,0.08703030973672866,3.5113959538936617,0.6433569294214249,0.6923567736148835,1.205269716978073,0.5640852916240692,0.41518921956419946,0.22164724245667458,,,,,,,
7,5.03720581293106,0.6422337543964386,1.1086360490322114,2.040021768808365,0.5354975292086601,0.3251842451095581,0.0841284205392003,3.6093812835216523,0.6702526989579201,0.6717766749858857,1.3262157225608826,0.5754177942872047,0.3485786582529545,0.21181775912642478,,,,,,,
8,4.973757481575012,0.6387721747159958,1.1002373892068862,2.0036089253425597,0.5227035021781922,0.309562671482563,0.0786311885714531,3.165682094693184,0.6725357517600059,0.5361902382969856,1.093036298751831,0.5838285359740257,0.3791780735552311,0.2693467091023922,,,,,,,
9,4.883937690258026,0.6362098759412765,1.0735374975204468,1.9680259370803832,0.5305533352494239,0.3058613321185112,0.0795715007558465,3.874330425262451,0.6323363202810287,0.7424492347240448,1.4674851262569428,0.5805808439850807,0.3742605935037136,0.23155241340398788,,,,,,,
10,4.898090832233429,0.6328708451986312,1.0722988051176072,1.9911538410186767,0.522639397084713,0.2852158935368061,0.07720457866787911,3.2487510046362877,0.6186918303370476,0.6121802046895027,1.106437650322914,0.5801731821894646,0.3773233354091644,0.24124381504952908,0.7146875,0.6825443336506604,0.57109375,0.727001491795127,0.23375,0.3789260385005066,0.870026724470707
11,4.85074939250946,0.6315889787673951,1.0631288546323776,1.9613773357868194,0.51680265635252,0.27922245502471926,0.07984509751200676,2.9546243464946746,0.5783694577217102,0.49783416256308555,1.069117210507393,0.6282026174664498,0.40100287690758707,0.24864906907081605,,,,,,,
12,4.738006539344788,0.6247501438856125,1.0285676956176757,1.9244470286369324,0.5132516235113144,0.2800352412462235,0.08034883886575699,4.075988784432411,0.7088491432368755,0.7499300050735473,1.5201927435398102,0.5386957508325577,0.3680775900185108,0.2932173597812653,,,,,,,
13,4.8125874400138855,0.6393551361560822,1.047157831788063,1.9481290292739868,0.4999134960770607,0.28489953801035883,0.08079623106867075,2.9563077506422997,0.5935250014066696,0.45961382701992987,1.1654594296216965,0.6219967630505562,0.36666330322623253,0.21589600794017316,,,,,,,
14,4.687073657512665,0.6242620545625687,1.0186125868558884,1.899327119588852,0.5005549362301827,0.2932294714450836,0.07620379187166691,2.623734016418457,0.531164254695177,0.4095919793844223,0.9977222269773484,0.5425390440225601,0.4056003651022911,0.22140966840088366,,,,,,,
15,4.711925866603852,0.6280857747793198,1.026086671948433,1.9040828990936278,0.5008629912137985,0.28803307518362997,0.07749753948301077,3.069941889345646,0.5718429663777351,0.5543167078495026,1.1179856252670288,0.5339322286844254,0.371995600014925,0.218086641356349,0.8053125,0.8001544023032876,0.66515625,0.7989115135591631,0.008125,0.016119032858028518,0.9033396680226861
16,4.514839518070221,0.6215898501873016,0.9649451214075089,1.8368860900402069,0.49798711240291593,0.2681667485833168,0.07667460706084966,2.4860526192188264,0.557154586315155,0.28978960193693637,0.9282083213329315,0.5720795515179634,0.4126343606412411,0.36390256114304065,,,,,,,
17,4.656653361320496,0.6164685535430908,1.0156281930208206,1.887039737701416,0.4932051143050194,0.2854036270081997,0.07256816796958447,2.881709716618061,0.5316835658252239,0.47134840473532674,1.088884100317955,0.5510316379368305,0.40178457126021383,0.2633421103656292,,,,,,,
18,4.641762962341309,0.6217998069524765,1.005469906926155,1.8891370570659638,0.49388192176818846,0.27464123904705046,0.07049808509647847,3.298931129872799,0.6256489299237729,0.5578558170050383,1.230535444021225,0.5308147642016411,0.3815603131055832,0.27395365871489047,,,,,,,
19,4.568786978721619,0.6189905995130539,0.9959635007381439,1.839054000377655,0.4957967391610146,0.256560348123312,0.06923569012433291,3.368919893801212,0.5373677764832974,0.6551388689875602,1.285523186326027,0.5676255178451538,0.34077919453382494,0.17898862734436988,,,,,,,
20,4.624435513019562,0.6286661040782928,1.0017542600631715,1.8673004877567292,0.5005875119566917,0.2788803789019585,0.07490166082978249,2.875678383708,0.551176732480526,0.47667295977473256,1.1099583393335342,0.5272033432126045,0.36389689952135085,0.2084770531207323,0.8103125,0.8074982994102089,0.70625,0.8278388278388278,0.0225,0.044009779951100246,0.9072820223495758
21,4.706045100688934,0.6228464281558991,1.0339547538757323,1.8981217312812806,0.48700333952903746,0.26078105077147484,0.06846711497753859,2.5275177451968194,0.5649960201978683,0.3125368691980839,1.0062658095359802,0.5158119995892048,0.3567582409083843,0.27960097812116147,,,,,,,
22,4.48750137090683,0.624797283411026,0.9666420757770539,1.8142595565319062,0.4724453216791153,0.2612331672012806,0.06791583988815546,2.6991017031669617,0.5497278153896332,0.4298620939254761,1.0465165603160858,0.5268157401680946,0.32830008149147033,0.19045155428349972,,,,,,,
23,4.505935304164886,0.6086052328348159,0.97813809633255,1.823961890935898,0.4765022775530815,0.2594095726311207,0.06944177854806184,3.0087367215752603,0.5585804145038128,0.5156412452459336,1.1637492525577544,0.5419180586934089,0.3320159012079239,0.20093278370797635,,,,,,,
24,4.533367426395416,0.612882889509201,0.9817953017354012,1.8453308594226838,0.4841134774684906,0.2612400035560131,0.06315171081572771,2.730844814479351,0.5834318210184574,0.4018042674660683,0.9174094021320343,0.7489776617288589,0.3416248795390129,0.3514972708374262,,,,,,,
25,4.425523529052734,0.6109753048419952,0.9486494988203049,1.7985169088840485,0.4867489895224571,0.2493956959247589,0.07005742270499468,2.2153938749432562,0.5416486193239689,0.20140679936856032,0.763311830163002,0.5192571872472763,0.3609635843336582,0.45569410383701325,0.79921875,0.7932691935944224,0.73046875,0.8442437923250564,0.00765625,0.015196154442549232,0.9116032702833783
26,4.378685088157654,0.6106056022644043,0.9267916750907897,1.8006386244297028,0.47268759936094285,0.24755655616521835,0.06658873897045851,2.641070934832096,0.5319987760484218,0.3917827446758747,0.9918451976776123,0.5158794692158699,0.33764211103320124,0.28207351103425027,,,,,,,
27,4.451831133365631,0.6151251900196075,0.9683302623033524,1.7922258186340332,0.46985660851001737,0.23886244624853134,0.06083397589623928,2.4322581523656845,0.5525855779647827,0.28022963475435975,1.0303859168291092,0.5262099081277847,0.33572743892669676,0.2362063930183649,,,,,,,
28,4.469876704216003,0.6053146541118621,0.9594460606575013,1.829136848449707,0.47542196154594424,0.2489356802403927,0.06899087309837341,1.9545426219701767,0.539631971269846,0.1903548705391586,0.608552850484848,0.5244256070256234,0.3401168940961361,0.37320550315082074,,,,,,,
29,4.432760751247406,0.6060084253549576,0.9521247267723083,1.8117851960659026,0.4613114368915558,0.2495705673098564,0.0645865586027503,2.1854665514826777,0.5338436216115952,0.25633069679141046,0.8798704141378403,0.5401584097743034,0.33701060950756073,0.2050752951949835,,,,,,,
30,4.400828433036804,0.6020437359809876,0.9421536207199097,1.8026620304584504,0.46896797060966494,0.24806081011891365,0.06491861537098885,2.7124221950769423,0.5698700653016567,0.40354972243309023,1.122992684841156,0.49697495430707933,0.3056734775006771,0.16276249244809152,0.83515625,0.8321878528523966,0.68265625,0.811403101495032,0.03859375,0.07431924176320144,0.922683136858984
