Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.6098,0.5611,0.6861,0.5268,0.6090,0.5268,0.5154,0.1498,0.3671,0.7751
2,0.5908,0.5858,0.7023,0.4601,0.6112,0.4601,0.3940,0.1092,0.1747,0.9038
3,0.5858,0.5880,0.6871,0.5181,0.6213,0.5181,0.4969,0.1604,0.3219,0.8231
4,0.5842,0.5895,0.6723,0.5613,0.6149,0.5613,0.5618,0.1752,0.4656,0.7101
5,0.5820,0.5926,0.7032,0.4731,0.6145,0.4731,0.4192,0.1223,0.2066,0.8874
6,0.5787,0.5956,0.6819,0.4950,0.6195,0.4950,0.4584,0.1432,0.2606,0.8596
