Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0404,0.8834,0.2925,0.8968,0.9819,0.8968,0.9307,0.9664,0.8953
2,0.0173,0.9514,0.2830,0.9197,0.9834,0.9197,0.9445,0.9938,0.9181
3,0.0134,0.9642,0.3056,0.9130,0.9825,0.9130,0.9404,0.9676,0.9119
4,0.0105,0.9713,0.1727,0.9564,0.9848,0.9564,0.9668,0.9497,0.9565
5,0.0089,0.9763,0.1181,0.9684,0.9850,0.9684,0.9744,0.8926,0.9700
6,0.0107,0.9747,0.1631,0.9566,0.9834,0.9566,0.9667,0.8909,0.9580
7,0.0074,0.9806,0.2459,0.9428,0.9822,0.9428,0.9580,0.8915,0.9438
8,0.0065,0.9827,0.4588,0.9251,0.9835,0.9251,0.9477,0.9866,0.9238
9,0.0082,0.9793,0.1712,0.9624,0.9848,0.9624,0.9706,0.9206,0.9633
10,0.0044,0.9882,0.1164,0.9731,0.9813,0.9731,0.9764,0.6890,0.9791
11,0.0036,0.9907,0.1280,0.9720,0.9803,0.9720,0.9755,0.6594,0.9786
12,0.0043,0.9894,0.0974,0.9781,0.9835,0.9781,0.9802,0.7260,0.9834
13,0.0033,0.9915,0.2097,0.9682,0.9862,0.9682,0.9746,0.9430,0.9687
14,0.0033,0.9916,0.1252,0.9741,0.9776,0.9741,0.9757,0.5157,0.9838
15,0.0037,0.9911,0.1265,0.9740,0.9818,0.9740,0.9771,0.7025,0.9797
16,0.0043,0.9914,0.1049,0.9783,0.9803,0.9783,0.9792,0.5721,0.9868
17,0.0022,0.9943,0.1253,0.9767,0.9796,0.9767,0.9780,0.5654,0.9854
18,0.0022,0.9947,0.1279,0.9760,0.9797,0.9760,0.9777,0.5828,0.9843
19,0.0020,0.9951,0.1271,0.9758,0.9801,0.9758,0.9777,0.6012,0.9837
20,0.0019,0.9953,0.1257,0.9770,0.9794,0.9770,0.9781,0.5520,0.9860
