Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.4467,0.7828,0.5168,0.7994,0.8039,0.7994,0.7888,0.9410,0.0000,0.1398,0.9306,0.5824
2,0.3566,0.8291,0.5079,0.8185,0.8199,0.8185,0.8186,0.9096,0.0000,0.3226,0.8306,0.7971
3,0.3341,0.8423,0.4559,0.8297,0.8295,0.8297,0.8292,0.9188,0.1452,0.2581,0.8530,0.7904
4,0.3148,0.8524,0.5999,0.8100,0.8304,0.8100,0.8107,0.9862,0.0000,0.2366,0.7553,0.8865
5,0.3021,0.8587,0.5869,0.8353,0.8393,0.8353,0.8355,0.9778,0.1290,0.2473,0.8330,0.8312
6,0.2925,0.8644,0.3562,0.8503,0.8496,0.8503,0.8496,0.9540,0.3226,0.3763,0.8931,0.7765
7,0.2822,0.8693,0.4787,0.8439,0.8449,0.8439,0.8390,0.9640,0.0645,0.2043,0.9301,0.7011
8,0.2721,0.8738,0.3662,0.8458,0.8445,0.8458,0.8450,0.9854,0.2742,0.3011,0.8795,0.7832
9,0.2623,0.8791,0.5431,0.8436,0.8440,0.8436,0.8416,0.8667,0.1129,0.3763,0.9144,0.7352
10,0.2563,0.8826,0.5504,0.8537,0.8538,0.8537,0.8519,0.9648,0.1452,0.5376,0.9114,0.7548
