epoch,train_det_loss,train_cls_loss,train_inst_loss,val_det_acc,val_det_f1,val_cls_acc,val_cls_f1,val_inst_acc,val_inst_f1
0,0.6515162241458893,1.1401394259929658,1.8972233068943023,0.77578125,0.7618060772235578,0.17943760984182777,0.3042765608702131,0.0,0.0
1,0.5895137631893158,0.9267193388938904,1.6819645738601685,0.833046875,0.8300172419599231,0.779261862917399,0.8759383642828923,0.0,0.0
2,0.5647491720318795,0.8729293531179428,1.6647150564193725,0.84109375,0.8392184603329618,0.8228471001757469,0.9028152718858465,0.45202108963093146,0.6226095376422174
3,0.5517218059301376,0.8700666588544845,1.6486456108093261,0.845078125,0.8437096179314847,0.8511423550087873,0.9195860628500901,0.002460456942003515,0.004908835904628331
4,0.5446150472760201,0.8548977795243263,1.6404471909999847,0.845859375,0.844641037184878,0.8254833040421793,0.9043997304322712,0.0019332161687170475,0.003858972110156113
5,0.5341464391350746,0.8755564638972282,1.6494431340694427,0.8465625,0.8454639546689833,0.8418277680140598,0.9141221374045801,0.0,0.0
6,0.546608504652977,0.8866625952720643,1.6435197055339814,0.848515625,0.847783876137149,0.8801405975395431,0.9362497663114601,0.23374340949033393,0.3789173789173789
7,0.5330432325601577,0.8418525671958923,1.6253629755973815,0.847109375,0.8461482315948643,0.8787346221441125,0.9354536950420954,0.5318101933216168,0.6943552088113814
8,0.5458978137373924,0.861730255484581,1.625667508840561,0.8475,0.8465718834467811,0.8676625659050966,0.9291427496000753,0.22161687170474517,0.3628254927348583
9,0.539637326002121,0.8518708062171936,1.5997872626781464,0.847890625,0.8469857958894838,0.8725834797891037,0.9319568277803848,0.2859402460456942,0.44471778051113847
10,0.5424168080091476,0.8574631759524345,1.6319755840301513,0.847734375,0.8468699880170881,0.8492091388400703,0.9184565671925491,0.0008787346221441124,0.001755926251097454
11,0.5392994433641434,0.8884154957532883,1.6356560361385346,0.847578125,0.8466714369698936,0.8667838312829526,0.9286386744492563,0.16924428822495607,0.2894934615962724
12,0.5405935952067376,0.8383778667449951,1.6052110373973847,0.848203125,0.8474042606933304,0.8572934973637961,0.9231642694928085,0.16397188049209138,0.2817454325834214
