epoch,train_total,train_pres,train_type,train_inst,train_recon,train_tc_cross,train_causal,val_total,val_pres,val_type,val_inst,val_recon,val_tc_cross,val_causal,probe_pres_acc,probe_pres_f1,probe_type_acc,probe_type_f1,probe_inst_acc,probe_inst_f1,detection_auc
0,5.956887288093567,0.677498961687088,1.351916047334671,2.4554476809501646,8.028934836387634,0.24161072507500647,0.12010852821171283,3.603489399552345,0.6903450161218643,0.6701052153110504,1.4547594809532165,6.159491543769836,0.3414308327436447,0.11817446801811457,0.5896875,0.4754610551700795,0.59,0.7421383647798742,0.0790625,0.14653924123950188,0.7954743593550493
1,5.397208285331726,0.667122277021408,1.2102917301654816,2.2077432763576508,8.076381731033326,0.3385101002454758,0.10175922635942697,3.6659225350618363,0.688055027127266,0.7016530865430832,1.413358520269394,6.1616112422943115,0.37000091060996054,0.16120279878377913,,,,,,,
2,5.357140917778015,0.6600946962833405,1.220277298092842,2.1551083016395567,8.047763800621032,0.38326528668403625,0.10138331882655621,3.5220511490106583,0.6723607861995697,0.6574945598840714,1.3354907989501954,6.160670528411865,0.356951447725296,0.1992103975266218,,,,,,,
3,5.2927504873275755,0.6620285606384277,1.2013317936658858,2.1343449759483337,8.089749236106872,0.373345145881176,0.09371332172304392,4.004877004623413,0.690791719853878,0.7870052027702331,1.5286750984191895,6.160138449668884,0.34042455971241,0.21139980033040046,,,,,,,
4,5.158012342453003,0.658061848282814,1.1568130791187285,2.0955052161216736,8.043407588005065,0.38174536138772963,0.09081911571323871,3.4250856870412827,0.6617945897579193,0.7113481664657593,1.1707460737228395,6.162643480300903,0.40598840564489364,0.16984870299696922,,,,,,,
5,5.1831244850158695,0.6530305552482605,1.1700700122117995,2.1037534427642823,8.085253415107728,0.3866081640124321,0.08620042406022549,3.148911308646202,0.6536203211545945,0.6086514329910279,1.1149873208999634,6.161390194892883,0.36646255567669866,0.1630007978528738,0.6228125,0.5387077569127494,0.5471875,0.7073318521510806,0.29765625,0.4587597832630945,0.8322977106036762
6,5.004278249740601,0.6457651591300965,1.1195328867435455,2.041371240615845,8.07465184211731,0.38460226088762284,0.07807607978582382,3.081636764407158,0.6455569142103195,0.5557967054843903,1.0744273263216018,6.163414506912232,0.41822163462638856,0.2500591033697128,,,,,,,
7,5.012560827732086,0.6454050922393799,1.1199783545732498,2.0458169198036193,8.07879611492157,0.3551865205168724,0.08138209473341704,2.6093222230672835,0.688266361951828,0.35034444510936735,0.8758223229646682,6.165145144462586,0.39603406861424445,0.3445446485280991,,,,,,,
8,4.92506552696228,0.6430137991905213,1.1021906435489655,2.0028162586688993,8.063070311546326,0.3551866519451141,0.07485416017472744,3.215142212510109,0.6376004722714425,0.5845200675725937,1.1237747812271117,6.16487977027893,0.40627402782440186,0.2847268056124449,,,,,,,
9,4.928947343826294,0.6362411153316497,1.1065972977876664,2.004509559869766,8.093771224021912,0.3361170181632042,0.07500202972441912,3.5552371770143507,0.70283511698246,0.6885531574487687,1.2197970247268677,6.163682608604431,0.4002555668354034,0.25549873456358907,,,,,,,
