epoch,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc,ped_f1,light_f1,medium_f1,heavy_f1
0,0.9503,0.4412,0.5221,0.9009,0.5156,0.5951,0.4631,0.421,0.7166,0.4617
1,0.8348,0.4988,0.5815,0.8972,0.5242,0.5657,0.5125,0.4426,0.6517,0.4899
2,0.7872,0.5245,0.6054,0.8332,0.5431,0.6358,0.5245,0.4377,0.7679,0.4423
3,0.7627,0.5376,0.6183,0.8198,0.5643,0.6326,0.5554,0.457,0.7462,0.4988
4,0.7389,0.5492,0.6282,0.9294,0.5276,0.5517,0.5509,0.4512,0.6262,0.4822
5,0.7189,0.5592,0.6365,0.8469,0.5568,0.6039,0.5752,0.4622,0.7035,0.4861
6,0.7033,0.5659,0.6432,0.8098,0.5764,0.6206,0.5944,0.4741,0.7156,0.5216
7,0.6903,0.573,0.6484,0.8019,0.5579,0.6329,0.5327,0.4622,0.7523,0.4843
8,0.6842,0.5778,0.6544,0.8041,0.5769,0.6377,0.5591,0.4767,0.7423,0.5295
9,0.6738,0.5814,0.6573,0.7463,0.5791,0.6729,0.559,0.4717,0.7974,0.4882
10,0.6662,0.5877,0.6635,0.7552,0.5904,0.663,0.5662,0.4857,0.774,0.5358
11,0.6546,0.5922,0.6669,0.7723,0.5892,0.6618,0.5655,0.4829,0.7719,0.5365
12,0.6487,0.5942,0.6682,0.7561,0.5979,0.6651,0.5933,0.4821,0.7735,0.5426
13,0.6418,0.5998,0.6737,0.7098,0.6161,0.6982,0.6136,0.4793,0.8103,0.5611
14,0.6355,0.6027,0.676,0.7544,0.597,0.6741,0.5838,0.4758,0.7879,0.5406
15,0.6298,0.6047,0.6786,0.7768,0.5952,0.6545,0.5786,0.4855,0.7553,0.5614
16,0.6241,0.6092,0.6821,0.7799,0.5941,0.6555,0.5762,0.4892,0.7545,0.5564
17,0.6172,0.6097,0.6826,0.7274,0.5998,0.6757,0.573,0.4906,0.7877,0.5477
18,0.6177,0.6136,0.6851,0.7665,0.6015,0.6586,0.5944,0.4884,0.7556,0.5676
19,0.6105,0.6157,0.6876,0.7495,0.5914,0.662,0.5869,0.474,0.7725,0.5321
20,0.6064,0.616,0.6882,0.8018,0.6001,0.6453,0.6202,0.4949,0.7333,0.5519
21,0.6007,0.6204,0.6909,0.7707,0.5994,0.6612,0.6051,0.4715,0.765,0.556
22,0.5983,0.6213,0.6925,0.7856,0.597,0.6575,0.59,0.4867,0.7595,0.5519
23,0.5921,0.6255,0.6954,0.7963,0.5894,0.6329,0.5889,0.5101,0.7219,0.5366
24,0.5904,0.6253,0.6957,0.7163,0.6184,0.6903,0.6135,0.4909,0.7965,0.5726
25,0.5883,0.6286,0.6982,0.75,0.6078,0.6779,0.5781,0.502,0.7828,0.5683
26,0.5834,0.6307,0.6995,0.7355,0.6225,0.6977,0.623,0.4967,0.8047,0.5654
27,0.5786,0.6323,0.7008,0.7387,0.6124,0.684,0.6036,0.4814,0.792,0.5726
28,0.5773,0.6324,0.702,0.749,0.6129,0.6794,0.6106,0.4907,0.7834,0.5671
29,0.5724,0.6361,0.7037,0.7439,0.6082,0.6789,0.5979,0.5046,0.7884,0.5418
