Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
50,0.1347,0.8063,4.5688,0.4952,0.5833,0.4952,0.5122,0.2663,0.2758,0.6541,0.4002,0.6024
51,0.1351,0.8046,4.5698,0.4994,0.5837,0.4994,0.5139,0.2681,0.2680,0.6486,0.3966,0.6182
52,0.1334,0.8067,4.5391,0.5013,0.5832,0.5013,0.5175,0.2700,0.2785,0.6369,0.4104,0.6086
53,0.1345,0.8064,4.5920,0.4979,0.5818,0.4979,0.5139,0.2668,0.2723,0.6514,0.4052,0.6046
54,0.1345,0.8055,4.6257,0.4983,0.5814,0.4983,0.5144,0.2670,0.2671,0.6523,0.4077,0.6038
55,0.1340,0.8064,4.6371,0.4976,0.5813,0.4976,0.5134,0.2658,0.2688,0.6477,0.4035,0.6070
56,0.1341,0.8056,4.6725,0.4989,0.5808,0.4989,0.5141,0.2667,0.2636,0.6532,0.4052,0.6081
57,0.1328,0.8074,4.6851,0.4999,0.5813,0.4999,0.5150,0.2675,0.2618,0.6514,0.4064,0.6099
58,0.1337,0.8063,4.6702,0.4978,0.5795,0.4978,0.5131,0.2649,0.2618,0.6486,0.4047,0.6070
59,0.1327,0.8071,4.6682,0.4993,0.5796,0.4993,0.5144,0.2662,0.2644,0.6477,0.4067,0.6084
60,0.1331,0.8078,4.6431,0.4972,0.5806,0.4972,0.5130,0.2653,0.2715,0.6450,0.4031,0.6064
61,0.1332,0.8070,4.6575,0.4996,0.5811,0.4996,0.5153,0.2674,0.2715,0.6450,0.4083,0.6067
62,0.1322,0.8078,4.6507,0.5000,0.5812,0.5000,0.5152,0.2674,0.2697,0.6441,0.4067,0.6096
63,0.1331,0.8076,4.6698,0.4991,0.5810,0.4991,0.5146,0.2667,0.2688,0.6450,0.4063,0.6079
64,0.1323,0.8086,4.6837,0.5000,0.5819,0.5000,0.5148,0.2675,0.2662,0.6450,0.4032,0.6136
65,0.1331,0.8077,4.6713,0.4995,0.5802,0.4995,0.5144,0.2663,0.2680,0.6414,0.4051,0.6108
66,0.1330,0.8074,4.6779,0.5011,0.5817,0.5011,0.5163,0.2686,0.2680,0.6441,0.4090,0.6100
67,0.1317,0.8085,4.6690,0.4996,0.5808,0.4996,0.5154,0.2672,0.2688,0.6441,0.4094,0.6062
