epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_align,train_stab,train_interv_inv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_align,val_stab,val_interv_inv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,0.023574659904230855,0.0,46.239953291773084,0.0,0.030339786164953322,0.03189613056943534,1.416374498855568,0.8659,0.7743,0.5712,0.6022,0.016556976181636384,57.11265063595462,57.11265063595462,0.0,0.013756387834779886,0.030596398591221152,59.007814481660915,0.8822,0.7975,0.3899,0.5169,57.129207612136256
1,0.04,↑,0.022667657436724907,0.1090737591246645,5.453688068161467,0.0,0.010458537478356839,0.02189627802166753,1.3616165272489993,0.875,0.794,0.6875,0.6857,0.020282743474492777,3.4190290856671024,3.4190290856671024,0.0,0.005900224195027248,0.017453218524009634,5.123449900449613,0.8744,0.7957,0.3993,0.5355,3.4393118291415954
2,0.06,↑,0.020767169985585584,0.10570948844005962,2.642737267973894,0.0,0.004142940541015503,0.01925476264364705,1.280623014530022,0.8791,0.8017,0.7209,0.7157,0.021572080505326455,1.8776825186494108,1.8776825186494108,0.0,0.0026034936853140205,0.016771774793454965,3.57547944448727,0.8846,0.8121,0.4325,0.5497,1.8992545991547374
3,0.08,↑,0.022210363831794904,0.1042313466618161,1.737189149571036,0.0,0.002035027113185448,0.017768354274466366,1.229742252683925,0.8819,0.8073,0.7379,0.7323,0.023146103583760076,1.275586008767545,1.275586008767545,0.0,0.0013773525998024552,0.013649137089940118,3.001891280665542,0.8813,0.8077,0.4078,0.56,1.2987321123513051
4,0.1,↑,0.023378819851818198,0.10200098538827039,1.2750123448714525,0.0,0.0009787139054081085,0.016662349966271018,1.1815758137645835,0.8855,0.8138,0.7545,0.747,0.024680030229803803,0.9792724313674035,0.9792724313674035,0.0,0.0005898533112548888,0.016174848352708084,2.6758452328768643,0.892,0.8191,0.4351,0.5653,1.0039524615972073
5,0.12000000000000001,↑,0.02470770832931924,0.09847524819259872,0.9847524647941133,0.0,0.00040262170970052326,0.01583409992264149,1.1428804417570193,0.8867,0.8163,0.7649,0.7576,0.025451469980986602,0.6849693723055191,0.6849693723055191,0.0,0.00021689950501862753,0.014393463634051286,2.325427781451832,0.8892,0.8193,0.4509,0.5676,0.7104208422865057
6,0.14,↑,0.025958255051585014,0.0941771845796151,0.784809889336546,0.0,0.00013027885444441385,0.014953827789934452,1.1128888622015536,0.8886,0.8199,0.7735,0.7658,0.02748128342002759,0.6163026658229498,0.6163026658229498,0.0,5.7040761021198705e-05,0.01305381241113399,2.319683009927923,0.8968,0.8289,0.4462,0.577,0.6437839492429773
7,0.16,↑,0.02733453415378839,0.09024398209092147,0.6445998695082293,0.0,3.3079641447667436e-05,0.01453192228685596,1.086117831746975,0.8913,0.8249,0.7798,0.7712,0.02809000311185529,0.56648974991464,0.56648974991464,0.0,1.3379861274901077e-05,0.014041376302171966,2.2886094572224143,0.8949,0.8246,0.4559,0.5834,0.5945797530264952
8,0.16,→hold,0.028232727242176403,0.08655574938315831,0.5409734448986853,0.0,5.714811868937524e-06,0.013797297501590795,1.0618450194061873,0.8921,0.8268,0.7869,0.7788,0.030566429082320365,0.4032800881377546,0.4032800881377546,0.0,1.330642538954186e-06,0.011553082635295598,2.1013960884763048,0.8906,0.8211,0.4326,0.5772,0.433846517220075
9,0.16,→hold,0.029609944771774515,0.0773992039530934,0.48374503526145113,0.0,6.579004789246083e-07,0.01361978670894475,1.0339679833657727,0.8937,0.8298,0.7921,0.7837,0.030963953592496003,0.36152850710726403,0.36152850710726403,0.0,2.9355048002393336e-07,0.01245903731948692,2.1168640227544877,0.8777,0.8112,0.4326,0.5752,0.39249246069976
