Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_background,Val_Acc_vehicle
1,0.5990,0.5471,0.6964,0.6044,0.4992,0.6044,0.4658,-0.0141,0.9862,0.0106
2,0.5550,0.5994,0.7283,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
3,0.5504,0.6014,0.7008,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
4,0.5259,0.6429,0.6893,0.3914,0.1532,0.3914,0.2202,0.0000,0.0000,1.0000
5,0.5302,0.6340,2.1468,0.6056,0.4988,0.6056,0.4642,-0.0120,0.9904,0.0073
6,0.4975,0.6781,0.7655,0.3914,0.4575,0.3914,0.2203,-0.0026,0.0001,0.9998
7,0.4808,0.6930,46.4873,0.6080,0.4936,0.6080,0.4612,-0.0064,0.9981,0.0014
8,0.4602,0.7105,0.6898,0.3916,0.4978,0.3916,0.2222,-0.0038,0.0018,0.9979
9,0.5161,0.6408,0.6892,0.3929,0.5330,0.3929,0.2275,0.0025,0.0063,0.9941
10,0.5229,0.6313,0.6895,0.3920,0.5894,0.3920,0.2222,0.0083,0.0016,0.9990
11,0.5134,0.6387,0.7924,0.3934,0.5438,0.3934,0.2289,0.0057,0.0075,0.9935
12,0.5135,0.6421,0.6906,0.3916,0.5183,0.3916,0.2212,-0.0005,0.0009,0.9991
13,0.5120,0.6462,0.7075,0.3922,0.5609,0.3922,0.2234,0.0062,0.0027,0.9979
14,0.5089,0.6473,0.6907,0.3919,0.6370,0.3919,0.2217,0.0115,0.0012,0.9995
